fold,horizon_min,family,observations,state_changes,sequence_resets,changes_per_100_bars,one_bar_run_rate,mean_run_bars,mean_confirmation_delay_bars,mean_confirmation_delay_trading_minutes,confidence_threshold
4,1,gaussian_hmm,30699,9402,132,30.62640476888498,0.6147472204740927,3.219949653870359,0.2695298692117356,0.2695298692117356,0.6
4,1,student_t_shared,30699,10773,132,35.09234828496042,0.6052269601100413,2.815130674002751,0.21882250580046403,0.21882250580046403,0.6
4,1,student_t_state,30699,10938,132,35.62982507573537,0.6076784101174345,2.773170731707317,0.2270836321905035,0.2270836321905035,0.6
4,2,gaussian_hmm,15341,4836,132,31.523368750407403,0.6084943639291466,3.087962962962963,0.3371143375680581,0.6742286751361162,0.6
4,2,student_t_shared,15341,4413,132,28.76605175673033,0.6061606160616062,3.3753575357535754,0.3118790496760259,0.6237580993520518,0.6
4,2,student_t_state,15341,4389,132,28.609608239358582,0.6056182260561822,3.393275823932758,0.315929203539823,0.631858407079646,0.6
5,1,gaussian_hmm,28773,9751,121,33.889410210961664,0.5960291734197731,2.9146069692058347,0.29810203726275464,0.29810203726275464,0.6
5,1,student_t_shared,28773,11020,121,38.299794946651375,0.5940220806031774,2.582622744816444,0.2540422432629279,0.2540422432629279,0.6
5,1,student_t_state,28773,11111,121,38.61606367080249,0.5941061253561254,2.561698717948718,0.25086009174311924,0.25086009174311924,0.6
5,2,gaussian_hmm,14375,2452,121,17.057391304347828,0.4010882238631947,5.586863583365721,0.8407329105003524,1.6814658210007047,0.6
5,2,student_t_shared,14375,5471,121,38.05913043478261,0.6155221745350501,2.5706366237482117,0.26605504587155965,0.5321100917431193,0.6
5,2,student_t_state,14375,5454,121,37.94086956521739,0.6173991031390135,2.57847533632287,0.26612605971249537,0.5322521194249907,0.6
