fold,horizon_min,family,threshold,selected_k,eligible_candidates,same_k_as_1pct
4,1,gaussian_hmm,0.005,7,6,True
4,1,gaussian_hmm,0.01,7,6,True
4,1,gaussian_hmm,0.02,7,6,True
4,1,gaussian_hmm,0.05,6,5,False
4,1,student_t_shared,0.005,7,6,True
4,1,student_t_shared,0.01,7,6,True
4,1,student_t_shared,0.02,7,6,True
4,1,student_t_shared,0.05,7,6,True
4,1,student_t_state,0.005,7,6,True
4,1,student_t_state,0.01,7,6,True
4,1,student_t_state,0.02,7,6,True
4,1,student_t_state,0.05,7,6,True
4,2,gaussian_hmm,0.005,7,6,True
4,2,gaussian_hmm,0.01,7,6,True
4,2,gaussian_hmm,0.02,7,6,True
4,2,gaussian_hmm,0.05,6,5,False
4,2,student_t_shared,0.005,7,6,True
4,2,student_t_shared,0.01,7,6,True
4,2,student_t_shared,0.02,7,6,True
4,2,student_t_shared,0.05,5,4,False
4,2,student_t_state,0.005,7,6,True
4,2,student_t_state,0.01,7,6,True
4,2,student_t_state,0.02,7,6,True
4,2,student_t_state,0.05,5,4,False
5,1,gaussian_hmm,0.005,7,6,True
5,1,gaussian_hmm,0.01,7,6,True
5,1,gaussian_hmm,0.02,7,6,True
5,1,gaussian_hmm,0.05,3,2,False
5,1,student_t_shared,0.005,7,6,True
5,1,student_t_shared,0.01,7,6,True
5,1,student_t_shared,0.02,7,6,True
5,1,student_t_shared,0.05,4,3,False
5,1,student_t_state,0.005,7,6,True
5,1,student_t_state,0.01,7,6,True
5,1,student_t_state,0.02,7,6,True
5,1,student_t_state,0.05,4,3,False
5,2,gaussian_hmm,0.005,6,6,True
5,2,gaussian_hmm,0.01,6,6,True
5,2,gaussian_hmm,0.02,6,6,True
5,2,gaussian_hmm,0.05,4,3,False
5,2,student_t_shared,0.005,7,6,True
5,2,student_t_shared,0.01,7,6,True
5,2,student_t_shared,0.02,7,6,True
5,2,student_t_shared,0.05,3,3,False
5,2,student_t_state,0.005,7,6,True
5,2,student_t_state,0.01,7,6,True
5,2,student_t_state,0.02,7,6,True
5,2,student_t_state,0.05,3,3,False
