model_key,fold,event,stable_state_id,cost
h1__gaussian_hmm,4,new,h1__gaussian_hmm::R001,
h1__gaussian_hmm,4,new,h1__gaussian_hmm::R002,
h1__gaussian_hmm,4,new,h1__gaussian_hmm::R003,
h1__gaussian_hmm,4,new,h1__gaussian_hmm::R004,
h1__gaussian_hmm,4,new,h1__gaussian_hmm::R005,
h1__gaussian_hmm,4,new,h1__gaussian_hmm::R006,
h1__gaussian_hmm,4,new,h1__gaussian_hmm::R007,
h1__gaussian_hmm,5,matched,h1__gaussian_hmm::R001,0.020521480927435765
h1__gaussian_hmm,5,matched,h1__gaussian_hmm::R002,0.015558831050922933
h1__gaussian_hmm,5,matched,h1__gaussian_hmm::R003,0.014056674382286492
h1__gaussian_hmm,5,matched,h1__gaussian_hmm::R004,0.07270385960340796
h1__gaussian_hmm,5,matched,h1__gaussian_hmm::R005,0.018301480129504798
h1__gaussian_hmm,5,matched,h1__gaussian_hmm::R006,0.007404101252855719
h1__gaussian_hmm,5,matched,h1__gaussian_hmm::R007,0.012985047022981389
h1__student_t_shared,4,new,h1__student_t_shared::R001,
h1__student_t_shared,4,new,h1__student_t_shared::R002,
h1__student_t_shared,4,new,h1__student_t_shared::R003,
h1__student_t_shared,4,new,h1__student_t_shared::R004,
h1__student_t_shared,4,new,h1__student_t_shared::R005,
h1__student_t_shared,4,new,h1__student_t_shared::R006,
h1__student_t_shared,4,new,h1__student_t_shared::R007,
h1__student_t_shared,5,matched,h1__student_t_shared::R001,0.030705524314342328
h1__student_t_shared,5,matched,h1__student_t_shared::R002,0.05280343505964429
h1__student_t_shared,5,matched,h1__student_t_shared::R003,0.038519700938830136
h1__student_t_shared,5,matched,h1__student_t_shared::R004,0.03257957213054486
h1__student_t_shared,5,matched,h1__student_t_shared::R005,0.02241924167127054
h1__student_t_shared,5,matched,h1__student_t_shared::R006,0.05276518624997619
h1__student_t_shared,5,matched,h1__student_t_shared::R007,0.05544570295782724
h1__student_t_state,4,new,h1__student_t_state::R001,
h1__student_t_state,4,new,h1__student_t_state::R002,
h1__student_t_state,4,new,h1__student_t_state::R003,
h1__student_t_state,4,new,h1__student_t_state::R004,
h1__student_t_state,4,new,h1__student_t_state::R005,
h1__student_t_state,4,new,h1__student_t_state::R006,
h1__student_t_state,4,new,h1__student_t_state::R007,
h1__student_t_state,5,matched,h1__student_t_state::R001,0.03308156986914115
h1__student_t_state,5,matched,h1__student_t_state::R002,0.03081907532078145
h1__student_t_state,5,matched,h1__student_t_state::R003,0.043927121080633895
h1__student_t_state,5,matched,h1__student_t_state::R004,0.014328994819724864
h1__student_t_state,5,matched,h1__student_t_state::R005,0.01731390162901439
h1__student_t_state,5,matched,h1__student_t_state::R006,0.02810801172232776
h1__student_t_state,5,matched,h1__student_t_state::R007,0.02915975253958334
h2__gaussian_hmm,4,new,h2__gaussian_hmm::R001,
h2__gaussian_hmm,4,new,h2__gaussian_hmm::R002,
h2__gaussian_hmm,4,new,h2__gaussian_hmm::R003,
h2__gaussian_hmm,4,new,h2__gaussian_hmm::R004,
h2__gaussian_hmm,4,new,h2__gaussian_hmm::R005,
h2__gaussian_hmm,4,new,h2__gaussian_hmm::R006,
h2__gaussian_hmm,4,new,h2__gaussian_hmm::R007,
h2__gaussian_hmm,5,matched,h2__gaussian_hmm::R001,0.1640589035853237
h2__gaussian_hmm,5,matched,h2__gaussian_hmm::R002,0.7510996803756101
h2__gaussian_hmm,5,matched,h2__gaussian_hmm::R003,0.9213747814980879
h2__gaussian_hmm,5,matched,h2__gaussian_hmm::R005,0.6258688479268905
h2__gaussian_hmm,5,matched,h2__gaussian_hmm::R006,0.015723425937295282
h2__gaussian_hmm,5,matched,h2__gaussian_hmm::R007,0.020405272237818604
h2__gaussian_hmm,5,retired,h2__gaussian_hmm::R004,
h2__student_t_shared,4,new,h2__student_t_shared::R001,
h2__student_t_shared,4,new,h2__student_t_shared::R002,
h2__student_t_shared,4,new,h2__student_t_shared::R003,
h2__student_t_shared,4,new,h2__student_t_shared::R004,
h2__student_t_shared,4,new,h2__student_t_shared::R005,
h2__student_t_shared,4,new,h2__student_t_shared::R006,
h2__student_t_shared,4,new,h2__student_t_shared::R007,
h2__student_t_shared,5,matched,h2__student_t_shared::R001,0.03982204158387839
h2__student_t_shared,5,matched,h2__student_t_shared::R002,0.08172840410882522
h2__student_t_shared,5,matched,h2__student_t_shared::R003,0.034145428452119694
h2__student_t_shared,5,matched,h2__student_t_shared::R004,0.07048918877671365
h2__student_t_shared,5,matched,h2__student_t_shared::R005,0.018557365616532862
h2__student_t_shared,5,matched,h2__student_t_shared::R006,0.029853177081687686
h2__student_t_shared,5,matched,h2__student_t_shared::R007,0.032473996865591735
h2__student_t_state,4,new,h2__student_t_state::R001,
h2__student_t_state,4,new,h2__student_t_state::R002,
h2__student_t_state,4,new,h2__student_t_state::R003,
h2__student_t_state,4,new,h2__student_t_state::R004,
h2__student_t_state,4,new,h2__student_t_state::R005,
h2__student_t_state,4,new,h2__student_t_state::R006,
h2__student_t_state,4,new,h2__student_t_state::R007,
h2__student_t_state,5,matched,h2__student_t_state::R001,0.03781806628278944
h2__student_t_state,5,matched,h2__student_t_state::R002,0.0685583231275631
h2__student_t_state,5,matched,h2__student_t_state::R003,0.029504757592396232
h2__student_t_state,5,matched,h2__student_t_state::R004,0.03390729798142125
h2__student_t_state,5,matched,h2__student_t_state::R005,0.0390396693959147
h2__student_t_state,5,matched,h2__student_t_state::R006,0.023276614557920062
h2__student_t_state,5,matched,h2__student_t_state::R007,0.03898505263258139
