fold,horizon_min,family,k,iterations,strict_converged,last_delta,delta_per_observation,practical_converged_1e_5
4,1,gaussian_hmm,7,300,False,0.02022720014792867,9.674845816199679e-08,True
4,1,student_t_shared,7,300,False,0.011518244398757815,5.509276509665574e-08,True
4,1,student_t_state,7,300,False,0.030886616150382906,1.477333723173239e-07,True
4,2,gaussian_hmm,7,300,False,0.02027076315425802,1.9395817812725953e-07,True
4,2,student_t_shared,7,259,True,0.009908144900691696,9.480480428559382e-08,True
4,2,student_t_state,7,300,False,0.024734376012929715,2.3666768103768708e-07,True
5,1,gaussian_hmm,7,300,False,0.026962882082443684,1.279365419186707e-07,True
5,1,student_t_shared,7,300,False,0.01088625137344934,5.165432059220952e-08,True
5,1,student_t_state,7,300,False,0.042303185124183074,2.007249521911207e-07,True
5,2,gaussian_hmm,6,300,False,0.02043892968504224,1.9400977394439716e-07,True
5,2,student_t_shared,7,300,True,0.0099814273416996,9.474539479543996e-08,True
5,2,student_t_state,7,300,False,0.0238780346699059,2.266543395339905e-07,True
