fold,train_start,train_end_exclusive,validation_end_exclusive,test_end_exclusive,screen_top_horizons,champion_horizon,champion_family,champion_k
4,2019-11-06,2022-11-06,2023-05-06,2023-11-06,"1,2",1,gaussian_hmm,7
5,2020-05-06,2023-05-06,2023-11-06,2024-05-06,"1,2",1,gaussian_hmm,7
