horizon_min,family,time_bucket,observations,mean_gain_vs_student,mean_confidence
1,gaussian_hmm,AM_close_30m,7482,0.09645866950437305,0.6364121034284091
1,gaussian_hmm,AM_middle,22462,0.13118293008928764,0.6433448962783652
1,gaussian_hmm,AM_open_30m,7484,0.12750075343728945,0.6078933762266199
1,gaussian_hmm,PM_close_30m,7494,0.16707485384097412,0.7255745639550539
1,gaussian_hmm,PM_middle,7500,0.12179681156823415,0.6721167841427096
1,gaussian_hmm,PM_open_30m,7490,0.09630089333681897,0.6146438807411164
1,student_t_shared,AM_close_30m,7482,0.10333839926274403,0.6590653255735918
1,student_t_shared,AM_middle,22462,0.14037578149922922,0.6714134084036439
1,student_t_shared,AM_open_30m,7484,0.12906059765350927,0.6114225268126973
1,student_t_shared,PM_close_30m,7494,0.17563534686009138,0.7433419883421782
1,student_t_shared,PM_middle,7500,0.13243714188399425,0.6954789778910383
1,student_t_shared,PM_open_30m,7490,0.0987756928002335,0.620940849234795
1,student_t_state,AM_close_30m,7482,0.10261332984198106,0.6307016428539126
1,student_t_state,AM_middle,22462,0.1368034838530097,0.667172732846256
1,student_t_state,AM_open_30m,7484,0.12469830655300798,0.6241776256806976
1,student_t_state,PM_close_30m,7494,0.17130015799944223,0.6286490929068247
1,student_t_state,PM_middle,7500,0.12966098258263395,0.6328302656612109
1,student_t_state,PM_open_30m,7490,0.0969924523301135,0.5934760660456315
2,gaussian_hmm,AM_close_30m,3739,0.08855844496061366,0.6315061122211936
2,gaussian_hmm,AM_middle,11227,0.11102010463104124,0.6477089905609655
2,gaussian_hmm,AM_open_30m,3740,0.10698932430465762,0.5975204815113653
2,gaussian_hmm,PM_close_30m,3745,0.14498750866516755,0.6840943923582871
2,gaussian_hmm,PM_middle,3750,0.10070972508306154,0.6464324521882995
2,gaussian_hmm,PM_open_30m,3744,0.06109627600596941,0.5757958826408822
2,student_t_shared,AM_close_30m,3739,0.09807483850889132,0.6789432207312037
2,student_t_shared,AM_middle,11227,0.11847733425347985,0.6863354192065548
2,student_t_shared,AM_open_30m,3740,0.10948944293842605,0.610226330109927
2,student_t_shared,PM_close_30m,3745,0.14831013866152887,0.7334867658629296
2,student_t_shared,PM_middle,3750,0.10317476588086118,0.6921691468829969
2,student_t_shared,PM_open_30m,3744,0.06410424685379143,0.5974151020300408
2,student_t_state,AM_close_30m,3739,0.09846559920573596,0.6806035306972333
2,student_t_state,AM_middle,11227,0.11870803046199889,0.6883896545294566
2,student_t_state,AM_open_30m,3740,0.10938496638704961,0.610705914448377
2,student_t_state,PM_close_30m,3745,0.14813403456496238,0.7343290566914438
2,student_t_state,PM_middle,3750,0.1030416848182272,0.6930077108556255
2,student_t_state,PM_open_30m,3744,0.06351250734919954,0.59774790955276
