fold,horizon_min,family,observations,state_changes,sequence_resets,changes_per_100_bars,one_bar_run_rate,mean_run_bars,mean_confirmation_delay_bars,mean_confirmation_delay_trading_minutes,confidence_threshold
0,1,gaussian_hmm,31149,10816,266,34.72342611319785,0.6062082656560188,2.810774228478614,0.3491830749895266,0.3491830749895266,0.6
0,1,student_t_shared,31149,12763,266,40.974028058685676,0.5843886714252821,2.3907437255353443,0.3103448275862069,0.3103448275862069,0.6
0,1,student_t_state,31149,16245,266,52.152557064432244,0.6040215613833202,1.8865604748349585,0.22612697416588223,0.22612697416588223,0.6
0,2,gaussian_hmm,15568,6010,266,38.60483042137719,0.6268323773103888,2.4805608667941366,0.3106876553438277,0.6213753106876554,0.6
0,2,student_t_shared,15568,5235,266,33.62667009249743,0.6335211779676423,2.830030903472096,0.32737847943498133,0.6547569588699627,0.6
0,2,student_t_state,15568,5206,266,33.44039054470709,0.6321271929824561,2.845029239766082,0.3300452116728319,0.6600904233456638,0.6
1,1,gaussian_hmm,28763,12419,248,43.17699822688871,0.6201152601247336,2.2707034025420385,0.3207956600361664,0.3207956600361664,0.6
1,1,student_t_shared,28763,9089,248,31.599624517609428,0.573953089857556,3.080539787940452,0.28368542517308715,0.28368542517308715,0.6
1,1,student_t_state,28763,13828,248,48.0756527483225,0.5879511224779767,2.0434072179596474,0.23225881261595546,0.23225881261595546,0.6
1,2,gaussian_hmm,14377,6259,248,43.534812547819435,0.6439219302289841,2.2094667281389273,0.3286792452830189,0.6573584905660378,0.6
1,2,student_t_shared,14377,5642,248,39.2432357237254,0.6422750424448217,2.4409168081494057,0.31354009077155826,0.6270801815431165,0.6
1,2,student_t_state,14377,5629,248,39.152813521597,0.6443763825080824,2.446316147694402,0.31553030303030305,0.6310606060606061,0.6
