fold,horizon_min,family,threshold,selected_k,eligible_candidates,same_k_as_1pct
0,1,gaussian_hmm,0.005,7,6,True
0,1,gaussian_hmm,0.01,7,6,True
0,1,gaussian_hmm,0.02,7,6,True
0,1,gaussian_hmm,0.05,6,5,False
0,1,student_t_shared,0.005,7,6,True
0,1,student_t_shared,0.01,7,6,True
0,1,student_t_shared,0.02,7,6,True
0,1,student_t_shared,0.05,5,4,False
0,1,student_t_state,0.005,7,6,True
0,1,student_t_state,0.01,7,6,True
0,1,student_t_state,0.02,7,6,True
0,1,student_t_state,0.05,7,6,True
0,2,gaussian_hmm,0.005,7,6,True
0,2,gaussian_hmm,0.01,7,6,True
0,2,gaussian_hmm,0.02,7,6,True
0,2,gaussian_hmm,0.05,6,5,False
0,2,student_t_shared,0.005,7,6,True
0,2,student_t_shared,0.01,7,6,True
0,2,student_t_shared,0.02,5,4,False
0,2,student_t_shared,0.05,5,3,False
0,2,student_t_state,0.005,7,6,True
0,2,student_t_state,0.01,7,6,True
0,2,student_t_state,0.02,7,5,True
0,2,student_t_state,0.05,5,4,False
1,1,gaussian_hmm,0.005,7,6,True
1,1,gaussian_hmm,0.01,7,6,True
1,1,gaussian_hmm,0.02,7,6,True
1,1,gaussian_hmm,0.05,7,6,True
1,1,student_t_shared,0.005,6,6,True
1,1,student_t_shared,0.01,6,6,True
1,1,student_t_shared,0.02,6,6,True
1,1,student_t_shared,0.05,5,4,False
1,1,student_t_state,0.005,7,6,True
1,1,student_t_state,0.01,7,6,True
1,1,student_t_state,0.02,7,6,True
1,1,student_t_state,0.05,7,6,True
1,2,gaussian_hmm,0.005,7,6,True
1,2,gaussian_hmm,0.01,7,6,True
1,2,gaussian_hmm,0.02,7,6,True
1,2,gaussian_hmm,0.05,7,6,True
1,2,student_t_shared,0.005,7,6,True
1,2,student_t_shared,0.01,7,6,True
1,2,student_t_shared,0.02,7,6,True
1,2,student_t_shared,0.05,6,5,False
1,2,student_t_state,0.005,7,6,True
1,2,student_t_state,0.01,7,6,True
1,2,student_t_state,0.02,7,6,True
1,2,student_t_state,0.05,6,5,False
