date,gap_type,log_return
2017-11-06,lunch,0.0003561464986892974
2017-11-06,closing_auction,0.00011835019837477053
2017-11-07,overnight_open,0.001773574216016102
2017-11-07,lunch,0.00011773709320725016
2017-11-07,closing_auction,-0.0004721435404044697
2017-11-08,overnight_open,-0.0003542540038227641
2017-11-08,lunch,0.00011762630137668603
2017-11-08,closing_auction,0.0005836008336052947
2017-11-09,overnight_open,-0.000700361882252066
2017-11-09,lunch,0.0003486547771968187
2017-11-09,closing_auction,-0.0004664723116656244
2017-11-10,overnight_open,-0.00046669000963714093
2017-11-10,lunch,0.0
2017-11-10,closing_auction,-0.0008161838032521033
2017-11-13,overnight_open,0.0008161838032520973
2017-11-13,closing_auction,-0.00034736293986737705
2017-11-14,overnight_open,0.0025445306349947947
2017-11-14,closing_auction,0.0016110475291200958
2017-11-15,overnight_open,0.002067540364355961
2017-11-15,lunch,0.0005715918989575678
2017-11-15,closing_auction,-0.0036421620048080303
2017-11-16,overnight_open,0.0011396012629335743
2017-11-16,lunch,0.0004526423071511002
2017-11-16,closing_auction,0.0033837162896271362
2017-11-17,overnight_open,0.010528771097975415
2017-11-17,lunch,-0.00011110493872883352
2017-11-17,closing_auction,0.0033277900926747457
2017-11-20,overnight_open,0.0016597514183644708
2017-11-20,lunch,-0.0004396570745693957
2017-11-20,closing_auction,0.00485045413374948
2017-11-21,overnight_open,0.004291852081541084
2017-11-21,lunch,-0.001783560248286291
2017-11-21,closing_auction,0.006282743179495209
2017-11-22,overnight_open,0.004166672694845912
2017-11-22,lunch,0.0006206682727438068
2017-11-22,closing_auction,0.0
2017-11-23,overnight_open,0.008680166831266597
2017-11-23,lunch,0.0006089516071665358
2017-11-23,closing_auction,-0.011616477234652126
2017-11-24,overnight_open,0.0
2017-11-24,closing_auction,-0.0021299262578248533
2017-11-27,overnight_open,0.002129926257824849
2017-11-27,lunch,0.0
2017-11-27,closing_auction,0.003176286418420737
2017-11-28,overnight_open,-0.00021143884210289636
2017-11-28,lunch,0.0009534404027530154
2017-11-28,closing_auction,0.004871858820606055
2017-11-29,overnight_open,0.0026378279605503985
2017-11-29,closing_auction,0.005117237421190059
2017-11-30,overnight_open,0.004261739208452886
2017-11-30,closing_auction,-0.012448293526567917
2017-12-01,overnight_open,0.0
2017-12-01,lunch,0.00020798668960171862
2017-12-01,closing_auction,0.0027018617704239038
2017-12-04,overnight_open,0.003522224712577893
2017-12-04,lunch,0.0005145356429443458
2017-12-04,closing_auction,0.004056800695614469
2017-12-05,overnight_open,0.003536250211982817
2017-12-05,lunch,0.0
2017-12-05,closing_auction,0.0
2017-12-06,overnight_open,-0.002096436826528182
2017-12-06,lunch,-0.0005306447458027798
2017-12-07,overnight_open,-0.0030605268995292506
2017-12-07,lunch,-0.00106723596042267
2017-12-08,overnight_open,-0.00714022322733065
2017-12-08,lunch,0.0012767317406153459
2017-12-08,closing_auction,-0.0032000027306709027
2017-12-11,overnight_open,-0.008583743691391442
2017-12-11,lunch,-0.0002164736451791564
2017-12-11,closing_auction,-0.01543580812983925
2017-12-12,overnight_open,0.009620243376990602
2017-12-12,lunch,-0.0033632318697664363
2017-12-13,overnight_open,0.011997282197396864
2017-12-13,lunch,-0.0033351893061383505
2017-12-13,closing_auction,0.0033021493957590318
2017-12-14,overnight_open,-0.005067764509037537
2017-12-14,lunch,0.002294957567012882
2017-12-14,closing_auction,0.0021574981400210927
2017-12-15,overnight_open,0.0053734680611431445
2017-12-15,lunch,0.0010712373814988586
2017-12-15,closing_auction,-0.0026702285558789208
2017-12-18,overnight_open,0.003736326737876437
2017-12-18,lunch,0.0014786652461828839
2017-12-18,closing_auction,0.0031364374901303115
2017-12-19,overnight_open,-0.00020879006235155365
2017-12-19,lunch,-0.0004187604751312546
2017-12-19,closing_auction,-0.00476317386391244
2017-12-20,overnight_open,0.0026490081715768625
2017-12-20,lunch,0.0007357191986702221
2017-12-20,closing_auction,-0.0008426375050936026
2017-12-21,overnight_open,-0.00031617221109667056
2017-12-21,closing_auction,-0.007648220838256845
2017-12-22,overnight_open,0.013556657524423213
2017-12-22,closing_auction,0.004192878260035958
2017-12-25,overnight_open,0.0031331618320369014
2017-12-25,lunch,0.0
2017-12-25,closing_auction,0.0008325528631590289
2017-12-26,overnight_open,0.00010402038808980477
2017-12-26,lunch,0.0
2017-12-26,closing_auction,0.00030742429918800005
2017-12-27,overnight_open,0.00020489703995473735
2017-12-27,lunch,0.00030688967557126876
2017-12-27,closing_auction,-0.003100777678248271
2017-12-28,overnight_open,0.0026878957566107056
2017-12-28,lunch,0.001649314877537037
