fold,horizon_min,family,k,iterations,strict_converged,last_delta,delta_per_observation,practical_converged_1e_5
0,1,gaussian_hmm,7,300,False,0.65415816497989,3.1536941607122056e-06,True
0,1,student_t_shared,7,300,False,0.030626026884419844,1.4764796546440583e-07,True
0,1,student_t_state,7,266,True,0.009915227681631222,4.7801276993391487e-08,True
0,2,gaussian_hmm,7,300,False,0.16923787134874146,1.6361444294473105e-06,True
0,2,student_t_shared,7,300,False,0.02752276379032992,2.660823862866278e-07,True
0,2,student_t_state,7,300,False,0.036089151923079044,3.4889983200478593e-07,True
1,1,gaussian_hmm,7,300,False,0.9125522367830854,4.3213899483503195e-06,True
1,1,student_t_shared,6,300,False,0.09976208498119377,4.7242322563796054e-07,True
1,1,student_t_state,7,300,False,0.010239862371236086,4.849085514221217e-08,True
1,2,gaussian_hmm,7,300,False,0.028879235600470565,2.736045665173287e-07,True
1,2,student_t_shared,7,300,False,0.013612902897875756,1.2896990931280382e-07,True
1,2,student_t_state,7,300,False,0.03215876941976603,3.046751752211351e-07,True
