policy,fold,horizon_min,family,k,display_state,model_mean_return_pct,model_std_return_pct,model_df,self_transition,test_share_hard,mean_confidence_hard_group,mean_run_bars_hard,shard
daily_sequence,0,1,student_t_shared,7,0,-6.239713768244241e-05,0.01640930064005348,7.6472875068029,0.9829962103809332,0.07184821342579216,0.7282257783458073,7.5608108108108105,policy_daily__f00_01
daily_sequence,0,1,student_t_shared,7,1,-0.009426074068078102,0.028291168568805626,7.6472875068029,0.3527849235158024,0.10966644194035122,0.5008995734643183,1.4730487278999569,policy_daily__f00_01
daily_sequence,0,1,student_t_shared,7,2,0.009006212715842352,0.029246253002214073,7.6472875068029,0.459654703450266,0.149635622331375,0.5328732683636977,1.8591942560829677,policy_daily__f00_01
daily_sequence,0,1,student_t_shared,7,3,0.024301267353736056,0.04574911612130062,7.6472875068029,0.37920324672489714,0.16790266140165014,0.5700560816590404,1.5482534043812908,policy_daily__f00_01
daily_sequence,0,1,student_t_shared,7,4,-0.019478326951973487,0.0477255487331202,7.6472875068029,0.44037896684611205,0.19740601624450224,0.5840898423276507,1.736024844720497,policy_daily__f00_01
daily_sequence,0,1,student_t_shared,7,5,0.0008153197363487798,0.09054902926790677,7.6472875068029,0.9887486674852147,0.2609072522392372,0.8121271046545422,18.140625,policy_daily__f00_01
daily_sequence,0,1,student_t_shared,7,6,-0.003725524223297309,0.1862619129567364,7.6472875068029,0.9876527533666145,0.04263379241709204,0.8733931987740782,14.593406593406593,policy_daily__f00_01
daily_sequence,1,1,student_t_shared,6,0,0.00015829442585172152,0.020166448860317883,7.201547446694456,0.9891098328606761,0.2282098529360637,0.8078767586166153,13.341463414634147,policy_daily__f00_01
daily_sequence,1,1,student_t_shared,6,1,-0.009249801194756132,0.029340208179225703,7.201547446694456,0.5914837429774661,0.32621771025275526,0.6246171807825092,2.6020521353300055,policy_daily__f00_01
daily_sequence,1,1,student_t_shared,6,2,0.029748552838071603,0.03299671142796409,7.201547446694456,0.2751593528260964,0.15676389806348434,0.6266964311705934,1.3077146171693736,policy_daily__f00_01
daily_sequence,1,1,student_t_shared,6,3,-0.042916555664948224,0.04447089560380083,7.201547446694456,0.2231706601553521,0.023050446754511004,0.5482443114246739,1.1391752577319587,policy_daily__f00_01
daily_sequence,1,1,student_t_shared,6,4,0.00187295169810039,0.07691115680919752,7.201547446694456,0.9913087472098768,0.23724924382018567,0.8248926685648481,14.932166301969366,policy_daily__f00_01
daily_sequence,1,1,student_t_shared,6,5,-0.0022488902713265787,0.16538978733375564,7.201547446694456,0.9902510989040675,0.028508848173000034,0.8744305949624427,11.714285714285714,policy_daily__f00_01
daily_sequence,2,1,student_t_shared,7,0,-2.516277872357415e-06,0.019942795771600963,7.306463484460173,0.9883862776988851,0.19125294744662294,0.8136799511346525,14.655940594059405,policy_daily__f02_03
