fold,train_start,train_end_exclusive,validation_end_exclusive,test_end_exclusive,screen_top_horizons,champion_horizon,champion_family,champion_k
2,2018-11-06,2021-11-06,2022-05-06,2022-11-06,"1,2",1,student_t_shared,7
3,2019-05-06,2022-05-06,2022-11-06,2023-05-06,"1,2",1,student_t_shared,6
