fold,horizon_min,family,k,iterations,strict_converged,last_delta,delta_per_observation,practical_converged_1e_5
2,1,gaussian_hmm,7,300,False,0.5337525209761225,2.556800318915311e-06,True
2,1,student_t_shared,7,300,False,0.1592114316590596,7.626602652787419e-07,True
2,1,student_t_state,7,300,False,0.017144565703347325,8.212650870073158e-08,True
2,2,gaussian_hmm,7,300,False,0.03518873125722166,3.3723447464872934e-07,True
2,2,student_t_shared,7,300,False,0.01589063266874291,1.522893542454637e-07,True
2,2,student_t_state,7,300,False,0.04141954552324023,3.969480619410631e-07,True
3,1,gaussian_hmm,7,300,False,0.6826286491996143,3.2287951849153307e-06,True
3,1,student_t_shared,6,300,False,0.1102473373466637,5.214637158754118e-07,True
3,1,student_t_state,7,290,True,0.00984156024060212,4.6550027389222924e-08,True
3,2,gaussian_hmm,7,300,False,0.044088697468396276,4.171984468706474e-07,True
3,2,student_t_shared,6,300,False,0.365925073318067,3.462641924696408e-06,True
3,2,student_t_state,6,300,False,0.329267508132034,3.1157621087836068e-06,True
