fold,horizon_min,family,model_key,log_density,gain_vs_student,observations
2,1,gaussian,h1__gaussian,5.510893419892371,-0.25572277170224444,30959
2,1,gaussian_hmm,h1__gaussian_hmm,6.019770884778901,0.25315469318428524,30959
2,1,gmm,h1__gmm,5.769016005768206,0.00239981417359056,30959
2,1,student_t,h1__student_t,5.766616191594616,0.0,30959
2,1,student_t_shared,h1__student_t_shared,6.028056636414449,0.26144044481983414,30959
2,1,student_t_state,h1__student_t_state,6.02828714194796,0.2616709503533445,30959
2,2,gaussian,h2__gaussian,5.206970774069774,-0.2656239276343884,15479
2,2,gaussian_hmm,h2__gaussian_hmm,5.696762001561016,0.22416729985685294,15479
2,2,gmm,h2__gmm,5.475224089174486,0.0026293874703238198,15479
2,2,student_t,h2__student_t,5.472594701704162,0.0,15479
2,2,student_t_shared,h2__student_t_shared,5.706746839876982,0.23415213817281938,15479
2,2,student_t_state,h2__student_t_state,5.707210765280844,0.23461606357668105,15479
3,1,gaussian,h1__gaussian,5.337581328633168,-0.29403700643786207,29032
3,1,gaussian_hmm,h1__gaussian_hmm,5.861697071957077,0.2300787368860475,29032
3,1,gmm,h1__gmm,5.629306327744781,-0.0023120073262486865,29032
3,1,student_t,h1__student_t,5.63161833507103,0.0,29032
3,1,student_t_shared,h1__student_t_shared,5.858338053559905,0.22671971848887512,29032
3,1,student_t_state,h1__student_t_state,5.8734238620431185,0.24180552697208896,29032
3,2,gaussian,h2__gaussian,5.071504236047065,-0.270931354507631,14514
3,2,gaussian_hmm,h2__gaussian_hmm,5.539550857829547,0.19711526727485126,14514
3,2,gmm,h2__gmm,5.3327917011970465,-0.009643889357649666,14514
3,2,student_t,h2__student_t,5.342435590554695,0.0,14514
3,2,student_t_shared,h2__student_t_shared,5.551772045979112,0.2093364554244155,14514
3,2,student_t_state,h2__student_t_state,5.551415020702497,0.208979430147802,14514
