comparison,left,right,days,block_days,iterations,mean_difference,ci_95_low,ci_95_high,probability_mean_positive
gain_vs_student,h1__gaussian,zero,250,1,2000,-0.27424999899212454,-0.36712259239688994,-0.2016939059062217,0.0
gain_vs_student,h1__gaussian,zero,250,5,2000,-0.27424999899212454,-0.39536929190796083,-0.17861710830458952,0.0
gain_vs_student,h1__gaussian,zero,250,10,2000,-0.27424999899212454,-0.41445969939371513,-0.1715415639730277,0.0
gain_vs_student,h1__gaussian,zero,250,20,2000,-0.27424999899212454,-0.41793770917673345,-0.15883154978969316,0.0
gain_vs_student,h1__gaussian_hmm,zero,250,1,2000,0.24199156022370055,0.21661028739652805,0.26976925350465664,1.0
gain_vs_student,h1__gaussian_hmm,zero,250,5,2000,0.24199156022370055,0.19544492907684857,0.296863042678179,1.0
gain_vs_student,h1__gaussian_hmm,zero,250,10,2000,0.24199156022370055,0.1847685766917867,0.31329875718063854,1.0
gain_vs_student,h1__gaussian_hmm,zero,250,20,2000,0.24199156022370055,0.1704607669989938,0.32118031213942067,1.0
gain_vs_student,h1__gmm,zero,250,1,2000,0.00012123536047821748,-0.008186545294589849,0.004863869089356233,0.5955
gain_vs_student,h1__gmm,zero,250,5,2000,0.00012123536047821748,-0.007378324735207064,0.005181106862895076,0.5595
gain_vs_student,h1__gmm,zero,250,10,2000,0.00012123536047821748,-0.006968495829716259,0.00536013636532011,0.547
gain_vs_student,h1__gmm,zero,250,20,2000,0.00012123536047821748,-0.00601753306135181,0.005170820119974094,0.5185
gain_vs_student,h1__student_t,zero,250,1,2000,0.0,0.0,0.0,0.0
gain_vs_student,h1__student_t,zero,250,5,2000,0.0,0.0,0.0,0.0
gain_vs_student,h1__student_t,zero,250,10,2000,0.0,0.0,0.0,0.0
gain_vs_student,h1__student_t,zero,250,20,2000,0.0,0.0,0.0,0.0
gain_vs_student,h1__student_t_shared,zero,250,1,2000,0.24464431005872428,0.21940521308056649,0.2722173208432706,1.0
gain_vs_student,h1__student_t_shared,zero,250,5,2000,0.24464431005872428,0.19677356942779037,0.2995932442625961,1.0
gain_vs_student,h1__student_t_shared,zero,250,10,2000,0.24464431005872428,0.1854312496094359,0.31752502716037256,1.0
gain_vs_student,h1__student_t_shared,zero,250,20,2000,0.24464431005872428,0.17172203826064183,0.32924601933190817,1.0
gain_vs_student,h1__student_t_state,zero,250,1,2000,0.2520633577643355,0.22631282793577234,0.27955011768692384,1.0
gain_vs_student,h1__student_t_state,zero,250,5,2000,0.2520633577643355,0.20237381929960563,0.30952008244677803,1.0
gain_vs_student,h1__student_t_state,zero,250,10,2000,0.2520633577643355,0.19194180932471588,0.3273419433914283,1.0
gain_vs_student,h1__student_t_state,zero,250,20,2000,0.2520633577643355,0.17669921840957498,0.33778537243832446,1.0
gain_vs_student,h2__gaussian,zero,250,1,2000,-0.2681829748687268,-0.34608370192785687,-0.20501155335698995,0.0
gain_vs_student,h2__gaussian,zero,250,5,2000,-0.2681829748687268,-0.36983482861845113,-0.18311338584448958,0.0
gain_vs_student,h2__gaussian,zero,250,10,2000,-0.2681829748687268,-0.38389493336460495,-0.17480477852358692,0.0
gain_vs_student,h2__gaussian,zero,250,20,2000,-0.2681829748687268,-0.392706562734325,-0.1645450193313961,0.0
gain_vs_student,h2__gaussian_hmm,zero,250,1,2000,0.21106645280950367,0.1874152414038308,0.2379508461795185,1.0
gain_vs_student,h2__gaussian_hmm,zero,250,5,2000,0.21106645280950367,0.16583279633699977,0.262249068561834,1.0
gain_vs_student,h2__gaussian_hmm,zero,250,10,2000,0.21106645280950367,0.15685220760249413,0.27720627655781876,1.0
gain_vs_student,h2__gaussian_hmm,zero,250,20,2000,0.21106645280950367,0.14265082618536956,0.2857398517589425,1.0
gain_vs_student,h2__gmm,zero,250,1,2000,-0.0033090375309066783,-0.010544537029144487,0.0013681976239179427,0.1345
gain_vs_student,h2__gmm,zero,250,5,2000,-0.0033090375309066783,-0.010618362537704701,0.0016718256737514058,0.131
gain_vs_student,h2__gmm,zero,250,10,2000,-0.0033090375309066783,-0.010515389857204212,0.0017825076915204616,0.1505
gain_vs_student,h2__gmm,zero,250,20,2000,-0.0033090375309066783,-0.010255147673326356,0.002148768287365302,0.147
gain_vs_student,h2__student_t,zero,250,1,2000,0.0,0.0,0.0,0.0
gain_vs_student,h2__student_t,zero,250,5,2000,0.0,0.0,0.0,0.0
gain_vs_student,h2__student_t,zero,250,10,2000,0.0,0.0,0.0,0.0
gain_vs_student,h2__student_t,zero,250,20,2000,0.0,0.0,0.0,0.0
gain_vs_student,h2__student_t_shared,zero,250,1,2000,0.22213467982310556,0.19783930645350142,0.25020083419634115,1.0
gain_vs_student,h2__student_t_shared,zero,250,5,2000,0.22213467982310556,0.1755751097226585,0.27513384704876737,1.0
gain_vs_student,h2__student_t_shared,zero,250,10,2000,0.22213467982310556,0.16572414487306067,0.2918048917465461,1.0
gain_vs_student,h2__student_t_shared,zero,250,20,2000,0.22213467982310556,0.15154005600088027,0.30004579378514046,1.0
gain_vs_student,h2__student_t_state,zero,250,1,2000,0.22220064619580093,0.19787039086837613,0.2502920576671712,1.0
