fold,horizon_min,family,k,iterations,strict_converged,last_delta,delta_per_observation,practical_converged_1e_5
2,1,gaussian_hmm,7,300,False,0.7582119411381427,3.6320138204913954e-06,True
2,1,student_t_shared,6,300,False,0.08926465394324623,4.2759872169328234e-07,True
2,1,student_t_state,7,300,False,0.019063089945120737,9.131669179203066e-08,True
2,2,gaussian_hmm,7,300,False,0.034719226125162095,3.3273492860378644e-07,True
2,2,student_t_shared,7,300,False,0.015805666014784947,1.5147506842479224e-07,True
2,2,student_t_state,7,300,False,0.04400084317603614,4.2168616777072346e-07,True
3,1,gaussian_hmm,7,300,False,0.8103882768773474,3.8330910508390794e-06,True
3,1,student_t_shared,7,265,True,0.009962151059880853,4.712041519390808e-08,True
3,1,student_t_state,7,300,True,0.009828235139138997,4.648700040743262e-08,True
3,2,gaussian_hmm,7,300,False,0.0445289612544002,4.2136453428717614e-07,True
3,2,student_t_shared,7,300,False,0.017633633033256046,1.6686191102458455e-07,True
3,2,student_t_state,7,300,False,0.03539784856548067,3.3495948603759224e-07,True
