fold,horizon_min,family,observations,state_changes,sequence_resets,changes_per_100_bars,one_bar_run_rate,mean_run_bars,mean_confirmation_delay_bars,mean_confirmation_delay_trading_minutes,confidence_threshold
2,1,gaussian_hmm,30959,9364,258,30.24645498885623,0.5826231552691749,3.2175223446268966,0.3078985357805733,0.3078985357805733,0.6
2,1,student_t_shared,30959,7011,258,22.646080299751283,0.566240198101527,4.259045260696107,0.3016666666666667,0.3016666666666667,0.6
2,1,student_t_state,30959,15501,258,50.06944668755451,0.6035915984516784,1.9645282061044482,0.18547765793528506,0.18547765793528506,0.6
2,2,gaussian_hmm,15479,5002,258,32.31474901479424,0.6028517110266159,2.9427756653992394,0.3685624720107479,0.7371249440214958,0.6
2,2,student_t_shared,15479,4271,258,27.59222171974934,0.6144844336498123,3.417752263192758,0.36967294350842417,0.7393458870168483,0.6
2,2,student_t_state,15479,4262,258,27.534078428839074,0.6148230088495575,3.424557522123894,0.372382851445663,0.744765702891326,0.6
3,1,gaussian_hmm,29032,8257,244,28.44103058693855,0.5819315374661804,3.415127632043289,0.2765448215839861,0.2765448215839861,0.6
3,1,student_t_shared,29032,15619,244,53.79925599338661,0.6102880917859169,1.830170837798651,0.16415505639275899,0.16415505639275899,0.6
3,1,student_t_state,29032,15628,244,53.830256268944616,0.6071068548387096,1.829133064516129,0.1649591126985619,0.1649591126985619,0.6
3,2,gaussian_hmm,14514,4771,244,32.871710073032936,0.6031904287138584,2.8941176470588235,0.29497098646034814,0.5899419729206963,0.6
3,2,student_t_shared,14514,4110,244,28.317486564696157,0.6178226917776757,3.333486449242076,0.32675771370763784,0.6535154274152757,0.6
3,2,student_t_state,14514,4116,244,28.35882596114097,0.6169724770642202,3.328899082568807,0.33930399181166837,0.6786079836233367,0.6
