fold,horizon_min,family,observations,state_changes,sequence_resets,changes_per_100_bars,one_bar_run_rate,mean_run_bars,mean_confirmation_delay_bars,mean_confirmation_delay_trading_minutes,confidence_threshold
8,1,gaussian_hmm,30938,10604,130,34.2750016161355,0.5617663499161543,2.882243338923048,0.3103850641773629,0.3103850641773629,0.6
8,1,student_t_shared,30938,15594,130,50.40403387420001,0.5771432205545662,1.9675655049605698,0.25132333480370533,0.25132333480370533,0.6
8,1,student_t_state,30938,15519,130,50.161613549680006,0.5679596140328456,1.9769953351651863,0.23053861263310246,0.23053861263310246,0.6
8,2,gaussian_hmm,15339,5366,130,34.98272377599583,0.5869723435225619,2.790938864628821,0.34047202797202797,0.6809440559440559,0.6
8,2,student_t_shared,15339,4515,130,29.434774105221983,0.5758880516684607,3.302260495156082,0.30662305805396567,0.6132461161079313,0.6
8,2,student_t_state,15339,4414,130,28.776321794119564,0.5787852112676056,3.3756602112676055,0.33304647160068845,0.6660929432013769,0.6
9,1,gaussian_hmm,28322,11030,119,38.94498976061013,0.5641761592967979,2.5403175172661223,0.30983050847457627,0.30983050847457627,0.6
9,1,student_t_shared,28322,15388,119,54.33232116375962,0.5778035725801252,1.8264009802024892,0.2547800046072334,0.2547800046072334,0.6
9,1,student_t_state,28322,15362,119,54.240519737306684,0.5716684968671274,1.8294683805955687,0.2289587852494577,0.2289587852494577,0.6
9,2,gaussian_hmm,14042,2385,119,16.984760005697193,0.39177316293929715,5.607827476038339,0.7274604267033723,1.4549208534067446,0.6
9,2,student_t_shared,14042,4249,119,30.259222333001,0.5835622710622711,3.21474358974359,0.3034188034188034,0.6068376068376068,0.6
9,2,student_t_state,14042,4160,119,29.62540948582823,0.5861182519280206,3.28160785230194,0.3219246031746032,0.6438492063492064,0.6
