fold,horizon_min,family,k,iterations,strict_converged,last_delta,delta_per_observation,practical_converged_1e_5
8,1,gaussian_hmm,7,300,False,0.015373421629192308,7.399143117340707e-08,True
8,1,student_t_shared,7,300,False,0.016799979843199253,8.085737724920588e-08,True
8,1,student_t_state,7,264,True,0.00994604782317765,4.786978011184153e-08,True
8,2,gaussian_hmm,7,300,False,0.038713671077857725,3.728024563325892e-07,True
8,2,student_t_shared,7,300,False,0.011964915829594247,1.1521898819966534e-07,True
8,2,student_t_state,7,300,False,0.02523357028258033,2.429926359726547e-07,True
9,1,gaussian_hmm,7,300,False,0.04001622259966098,1.9060063729905012e-07,True
9,1,student_t_shared,7,300,False,0.010673936019884422,5.0840855925678847e-08,True
9,1,student_t_state,7,264,True,0.009907893283525482,4.7192129877519583e-08,True
9,2,gaussian_hmm,6,300,False,0.05733937563491054,5.470949042994317e-07,True
9,2,student_t_shared,7,300,False,0.029586639881017618,2.8229641036397967e-07,True
9,2,student_t_state,7,300,False,0.028624700527871028,2.731182127898998e-07,True
