comparison,left,right,days,block_days,iterations,mean_difference,ci_95_low,ci_95_high,probability_mean_positive
horizon_gain_difference,h1__gaussian_hmm,h2__gaussian_hmm,249,1,2000,0.011255727890298238,0.00578971747339337,0.01648025016959847,1.0
horizon_gain_difference,h1__gaussian_hmm,h2__gaussian_hmm,249,5,2000,0.011255727890298238,0.005354433222852967,0.01674066867241283,1.0
horizon_gain_difference,h1__gaussian_hmm,h2__gaussian_hmm,249,10,2000,0.011255727890298238,0.004631453455362703,0.017094020620404788,1.0
horizon_gain_difference,h1__gaussian_hmm,h2__gaussian_hmm,249,20,2000,0.011255727890298238,0.0033470116753408327,0.01816911440682104,0.996
hmm_family_difference,h1__gaussian_hmm,h1__student_t_shared,249,1,2000,-0.0032739285801836617,-0.005426647045576405,-0.0014075481110574848,0.0
hmm_family_difference,h1__gaussian_hmm,h1__student_t_shared,249,5,2000,-0.0032739285801836617,-0.005631705322903528,-0.0010382312262323856,0.0015
hmm_family_difference,h1__gaussian_hmm,h1__student_t_shared,249,10,2000,-0.0032739285801836617,-0.005609988709433609,-0.0012056517632304396,0.0015
hmm_family_difference,h1__gaussian_hmm,h1__student_t_shared,249,20,2000,-0.0032739285801836617,-0.005718237555976696,-0.001067772647650584,0.0005
hmm_family_difference,h1__gaussian_hmm,h1__student_t_state,249,1,2000,-0.003174644464829245,-0.005477197458644046,-0.0011964239343047025,0.0
hmm_family_difference,h1__gaussian_hmm,h1__student_t_state,249,5,2000,-0.003174644464829245,-0.005533438297120413,-0.0009420421173697482,0.0025
hmm_family_difference,h1__gaussian_hmm,h1__student_t_state,249,10,2000,-0.003174644464829245,-0.005468159865162469,-0.0010957000801335689,0.0015
hmm_family_difference,h1__gaussian_hmm,h1__student_t_state,249,20,2000,-0.003174644464829245,-0.005518853851521056,-0.0010856279746999033,0.0005
hmm_family_difference,h1__student_t_shared,h1__student_t_state,249,1,2000,9.928411535441658e-05,-0.0002163454713435268,0.00042502144398327645,0.751
hmm_family_difference,h1__student_t_shared,h1__student_t_state,249,5,2000,9.928411535441658e-05,-0.00022110655338455803,0.00042160027927355936,0.7225
hmm_family_difference,h1__student_t_shared,h1__student_t_state,249,10,2000,9.928411535441658e-05,-0.0002616387088158687,0.0004733362064984676,0.7085
hmm_family_difference,h1__student_t_shared,h1__student_t_state,249,20,2000,9.928411535441658e-05,-0.00029021229910454005,0.0005058138323983155,0.672
hmm_family_difference,h2__gaussian_hmm,h2__student_t_shared,249,1,2000,-0.004964473177388721,-0.007669297257287746,-0.0025210249315327873,0.0
hmm_family_difference,h2__gaussian_hmm,h2__student_t_shared,249,5,2000,-0.004964473177388721,-0.007564077579810551,-0.0026498772249657844,0.0
hmm_family_difference,h2__gaussian_hmm,h2__student_t_shared,249,10,2000,-0.004964473177388721,-0.007376078998626205,-0.0027295043886173295,0.0
hmm_family_difference,h2__gaussian_hmm,h2__student_t_shared,249,20,2000,-0.004964473177388721,-0.006995847194470185,-0.0030636151359232657,0.0
hmm_family_difference,h2__gaussian_hmm,h2__student_t_state,249,1,2000,-0.005004850415076222,-0.007787223732592054,-0.0024357677363663404,0.0
hmm_family_difference,h2__gaussian_hmm,h2__student_t_state,249,5,2000,-0.005004850415076222,-0.007722746716013871,-0.0026522633635673496,0.0
hmm_family_difference,h2__gaussian_hmm,h2__student_t_state,249,10,2000,-0.005004850415076222,-0.007436533975306665,-0.0027625557351648863,0.0
hmm_family_difference,h2__gaussian_hmm,h2__student_t_state,249,20,2000,-0.005004850415076222,-0.006993171120111692,-0.003151118712003159,0.0
hmm_family_difference,h2__student_t_shared,h2__student_t_state,249,1,2000,-4.0377237687500836e-05,-0.0003736709650745445,0.0002965061172459515,0.42
hmm_family_difference,h2__student_t_shared,h2__student_t_state,249,5,2000,-4.0377237687500836e-05,-0.0003376973767080736,0.00023768987521148387,0.396
hmm_family_difference,h2__student_t_shared,h2__student_t_state,249,10,2000,-4.0377237687500836e-05,-0.0003317752554246277,0.00024715642228084403,0.387
hmm_family_difference,h2__student_t_shared,h2__student_t_state,249,20,2000,-4.0377237687500836e-05,-0.00029766778498550465,0.00023652217265386532,0.352
