date,timestamp,window_start,log_return,session,sequence_reset,internal_state,state_id,confidence,p_state_0,p_state_1,p_state_2,p_state_3,p_state_4,p_state_5,p_state_6
2026-02-10,2026-02-10 09:01:00,2026-02-10 09:00:00,-0.0005615826567501541,AM,True,0,h1__student_t_state::R002,0.5566755073998205,0.5566755073998205,0.09229379379387533,0.10010027311792154,0.1580305994277712,0.01793411555092919,0.0622793183769743,0.012686392332707882
2026-02-10,2026-02-10 09:02:00,2026-02-10 09:01:00,0.0003063569081912406,AM,False,2,h1__student_t_state::R003,0.6059313335068929,0.1292573293469479,0.09223716333011228,0.6059313335068929,0.042777552689933156,0.006422128573431664,0.1190074553871355,0.004367037165546676
2026-02-10,2026-02-10 09:03:00,2026-02-10 09:02:00,0.00010209811637856935,AM,False,2,h1__student_t_state::R003,0.44757442651578544,0.2954229280619688,0.1628294734199408,0.44757442651578544,0.03915620682339407,0.0016423462309748287,0.05202959270266758,0.0013450262452685364
2026-02-10,2026-02-10 09:04:00,2026-02-10 09:03:00,0.00025519969514538034,AM,False,2,h1__student_t_state::R003,0.5755165796678133,0.18360278620622855,0.1792022268589598,0.5755165796678133,0.019345932778358096,0.0006228487143270701,0.04126315877685278,0.00044646699746047746
2026-02-10,2026-02-10 09:05:00,2026-02-10 09:04:00,0.0003061536915432293,AM,False,2,h1__student_t_state::R003,0.6087019083890004,0.1805220780450898,0.16385848571006975,0.6087019083890004,0.013577371120026278,0.0003011076266771184,0.03284714167949025,0.00019190742964643887
2026-02-10,2026-02-10 09:06:00,2026-02-10 09:05:00,-0.00035718842068744883,AM,False,0,h1__student_t_state::R002,0.6800036388425681,0.6800036388425681,0.11661694241178212,0.1631674132416427,0.02813610691484162,0.00011775447931299688,0.01177362151527656,0.00018452259457590935
2026-02-10,2026-02-10 09:07:00,2026-02-10 09:06:00,-5.103733382086568e-05,AM,False,2,h1__student_t_state::R003,0.38460996978467094,0.3733011155481199,0.2178935310336879,0.38460996978467094,0.0133569045955593,4.96275371308248e-05,0.010686287004615958,0.00010256449621523886
2026-02-10,2026-02-10 09:08:00,2026-02-10 09:07:00,0.0,AM,False,1,h1__student_t_state::R001,0.3528842564700014,0.3001542054886163,0.3528842564700014,0.3331499641970069,0.00683282800966327,2.8539146504775605e-05,0.00690765443482006,4.255225338733319e-05
2026-02-10,2026-02-10 09:09:00,2026-02-10 09:08:00,0.0,AM,False,1,h1__student_t_state::R001,0.5099363921375767,0.22961465525063776,0.5099363921375767,0.25255290353789844,0.004004846002533435,1.355462388968388e-05,0.0038581675490855817,1.9480898378298948e-05
2026-02-10,2026-02-10 09:10:00,2026-02-10 09:09:00,0.00025516062499699436,AM,False,1,h1__student_t_state::R001,0.5170399918898912,0.11121470049121451,0.5170399918898912,0.3646133254502943,0.0024659189025221517,1.2101069605789617e-05,0.004640707352165019,1.3254844307036293e-05
2026-02-10,2026-02-10 09:11:00,2026-02-10 09:10:00,0.00035711553066831075,AM,False,2,h1__student_t_state::R003,0.4491118890747328,0.11688740245903782,0.42403314750888765,0.4491118890747328,0.002302706707654004,1.8980910627762975e-05,0.007633581014325861,1.2292324734114817e-05
2026-02-10,2026-02-10 09:12:00,2026-02-10 09:11:00,-0.0005612388218443622,AM,False,0,h1__student_t_state::R002,0.6891288455044394,0.6891288455044394,0.16503734823079388,0.12272209264835912,0.017360547910056753,3.282646213549652e-05,0.005664938123502319,5.3401120713043076e-05
2026-02-10,2026-02-10 09:13:00,2026-02-10 09:12:00,0.0001020668538778286,AM,False,2,h1__student_t_state::R003,0.4956272618763445,0.22729806562301816,0.26238477208700184,0.4956272618763445,0.007192709738242074,1.7681691814161116e-05,0.00743412387078538,4.538511279395044e-05
2026-02-10,2026-02-10 09:14:00,2026-02-10 09:13:00,0.00040816327097277884,AM,False,2,h1__student_t_state::R003,0.6646936345801722,0.14974044909450385,0.16592933758881573,0.6646936345801722,0.004438127251930913,4.278546181768506e-05,0.015121104662136878,3.4561360622841325e-05
2026-02-10,2026-02-10 09:15:00,2026-02-10 09:14:00,-0.00020406081082961015,AM,False,0,h1__student_t_state::R002,0.571226189194059,0.571226189194059,0.19935202211786354,0.21539124190198297,0.008293045783264228,2.5247212415672292e-05,0.005687070173846526,2.518361656799877e-05
2026-02-10,2026-02-10 09:16:00,2026-02-10 09:15:00,-0.0005103342800221108,AM,False,0,h1__student_t_state::R002,0.7078881682390238,0.7078881682390238,0.087709393555294,0.17294197839899028,0.02610854069276499,2.5633131911650053e-05,0.005219625973887821,0.00010666000812748725
2026-02-10,2026-02-10 09:17:00,2026-02-10 09:16:00,-0.00020420665784669977,AM,False,0,h1__student_t_state::R002,0.5539770848528303,0.5539770848528303,0.12983106338166286,0.2914378133799519,0.016224260660989337,2.5691884052542792e-05,0.008396789633662817,0.00010729620685044436
2026-02-10,2026-02-10 09:18:00,2026-02-10 09:17:00,5.1055574003510994e-05,AM,False,2,h1__student_t_state::R003,0.458993611554552,0.2966958836534749,0.2286845215291032,0.458993611554552,0.00762862931573188,2.76124939252518e-05,0.007922029291060645,4.771216215224663e-05
2026-02-10,2026-02-10 09:19:00,2026-02-10 09:18:00,-0.0001021137548114914,AM,False,0,h1__student_t_state::R002,0.3944779278986845,0.3944779278986845,0.3391568247037331,0.25595531884195716,0.005773428740197459,1.6334426688862394e-05,0.004593445748988931,2.671963975003675e-05
