date,timestamp,window_start,log_return,session,sequence_reset,internal_state,state_id,confidence,p_state_0,p_state_1,p_state_2,p_state_3,p_state_4,p_state_5,p_state_6
2025-12-16,2025-12-16 09:01:00,2025-12-16 09:00:00,5.342308412748501e-05,AM,True,1,h1__student_t_state::R001,0.440595299405366,0.20896632297203213,0.440595299405366,0.2604723253906452,0.029246606647857158,0.007421485013287441,0.05101267047965618,0.002285290091155864
2025-12-16,2025-12-16 09:02:00,2025-12-16 09:01:00,-0.00021370946279983594,AM,False,1,h1__student_t_state::R001,0.5071939285975281,0.3123995473734941,0.5071939285975281,0.13075445582129064,0.030063395035256648,0.0010637560727972321,0.0168707592410666,0.0016541578585665942
2025-12-16,2025-12-16 09:03:00,2025-12-16 09:02:00,-0.0002672010703939957,AM,False,1,h1__student_t_state::R001,0.5238067610007403,0.31589855130187733,0.5238067610007403,0.12610898490465433,0.021776663702241784,0.0004124040850332175,0.011434581174217596,0.0005620538312353132
2025-12-16,2025-12-16 09:04:00,2025-12-16 09:03:00,0.00016032920965315797,AM,False,1,h1__student_t_state::R001,0.6157025978212356,0.10167894235554721,0.6157025978212356,0.26569915972032715,0.006339457072672553,0.0001360184038236693,0.01032167640512827,0.00012214822126547972
2025-12-16,2025-12-16 09:05:00,2025-12-16 09:04:00,0.0003205813235406628,AM,False,1,h1__student_t_state::R001,0.5615400153394602,0.091981721171172,0.5615400153394602,0.3310294500767026,0.004222053435324978,8.389403692091819e-05,0.011087808678341164,5.505726207811543e-05
2025-12-16,2025-12-16 09:06:00,2025-12-16 09:05:00,0.0003204785840910773,AM,False,1,h1__student_t_state::R001,0.5084243988392596,0.10642516165785205,0.5084243988392596,0.37060095300635093,0.003959769597476534,5.554509985524424e-05,0.010501459960054409,3.271183915119662e-05
2025-12-16,2025-12-16 09:07:00,2025-12-16 09:06:00,0.0010141718022113695,AM,False,2,h1__student_t_state::R003,0.6714669999874813,0.1379102982060572,0.05798333384374638,0.6714669999874813,0.01597530692278894,0.001025150563121666,0.11536688410175833,0.00027202637504609257
2025-12-16,2025-12-16 09:08:00,2025-12-16 09:07:00,0.0015992327093055612,AM,False,5,h1__student_t_state::R005,0.5178837750631441,0.08175570280947302,0.000504770241222396,0.2886392579112464,0.08383608289736469,0.023834365020336215,0.5178837750631441,0.0035460460572130687
2025-12-16,2025-12-16 09:09:00,2025-12-16 09:08:00,-0.0005860884095626294,AM,False,3,h1__student_t_state::R004,0.5439361697895511,0.26703557529812305,0.0004545819032440613,0.04638587431505802,0.5439361697895511,0.005688858774819021,0.12249176450027915,0.014007175418925585
2025-12-16,2025-12-16 09:10:00,2025-12-16 09:09:00,-0.000479782507804014,AM,False,3,h1__student_t_state::R004,0.47070089823732975,0.2479691321745038,0.002476529917756191,0.06839846917968241,0.47070089823732975,0.004867149659829669,0.1948625369994081,0.0107252838314901
2025-12-16,2025-12-16 09:11:00,2025-12-16 09:10:00,0.0009060626869025768,AM,False,5,h1__student_t_state::R005,0.7495705757938197,0.01631660579288525,0.00025021722075687107,0.11359713215782159,0.09924996181899555,0.015327478689744404,0.7495705757938197,0.005688028525976768
2025-12-16,2025-12-16 09:12:00,2025-12-16 09:11:00,-0.00015983377321641506,AM,False,3,h1__student_t_state::R004,0.490061389989809,0.15799878860778868,0.0013980034060456401,0.06489476543406095,0.490061389989809,0.005009096044109146,0.27507036317775074,0.005567593340435814
2025-12-16,2025-12-16 09:13:00,2025-12-16 09:12:00,-0.0006395906837797636,AM,False,3,h1__student_t_state::R004,0.6434839194135714,0.12895588366870503,0.000703560037659281,0.029473662896730785,0.6434839194135714,0.0030441377482436716,0.1840837944247193,0.010255041810370536
2025-12-16,2025-12-16 09:14:00,2025-12-16 09:13:00,5.331485086442757e-05,AM,False,5,h1__student_t_state::R005,0.43447187391832065,0.09681177688178369,0.009515087205879149,0.17180497291775987,0.2790783051546402,0.003665583341110625,0.43447187391832065,0.00465240058050585
2025-12-16,2025-12-16 09:15:00,2025-12-16 09:14:00,-0.0003732636617843934,AM,False,3,h1__student_t_state::R004,0.46809278530722515,0.2668071072726405,0.008660236038936623,0.06578927162241986,0.46809278530722515,0.002306623715383066,0.18443194622713557,0.0039120298162593865
2025-12-16,2025-12-16 09:16:00,2025-12-16 09:15:00,-0.001174022227810206,AM,False,3,h1__student_t_state::R004,0.7305351404030062,0.06138539827964354,0.00015852061579415573,0.019312580232410694,0.7305351404030062,0.003930048733287377,0.15774043909908433,0.026937872636773785
2025-12-16,2025-12-16 09:17:00,2025-12-16 09:16:00,-0.0013357913877466085,AM,False,3,h1__student_t_state::R004,0.727243247119065,0.00899252920174739,6.493548495381804e-06,0.0034008856542082203,0.727243247119065,0.017172940706076004,0.1720795143648647,0.07110438940554319
2025-12-16,2025-12-16 09:18:00,2025-12-16 09:17:00,0.0011221846369612195,AM,False,5,h1__student_t_state::R005,0.7959244260907885,0.00040249411966171336,1.7293386739907233e-06,0.0037428394235578333,0.0874040160438514,0.09363253068287548,0.7959244260907885,0.01889196430059107
2025-12-16,2025-12-16 09:19:00,2025-12-16 09:18:00,-0.00021365238837814696,AM,False,3,h1__student_t_state::R004,0.622212034788054,0.01955110137932265,2.9199112862494964e-05,0.0026455570120272405,0.622212034788054,0.02221755328435175,0.29858924379085,0.03475531063253199
2025-12-16,2025-12-16 09:20:00,2025-12-16 09:19:00,0.00128123015604854,AM,False,5,h1__student_t_state::R005,0.8055938823977262,0.0005736729902577959,1.978670357727281e-06,0.003982072402544763,0.09391445401422144,0.07852194338747498,0.8055938823977262,0.01741199613741703
2025-12-16,2025-12-16 09:21:00,2025-12-16 09:20:00,0.00021337885496506992,AM,False,5,h1__student_t_state::R005,0.5699157631910283,0.008220152135132289,3.912498850655445e-05,0.007847528741483431,0.36417874061224265,0.02704505170871382,0.5699157631910283,0.02275363862289288
2025-12-16,2025-12-16 09:22:00,2025-12-16 09:21:00,0.00021333333414246496,AM,False,5,h1__student_t_state::R005,0.6097174952305838,0.011079148914620113,0.00043544909199271593,0.02838418757731957,0.32382369756275076,0.015514056267244817,0.6097174952305838,0.011045965355488262
