date,timestamp,window_start,log_return,session,sequence_reset,internal_state,state_id,confidence,p_state_0,p_state_1,p_state_2,p_state_3,p_state_4,p_state_5,p_state_6
2026-03-11,2026-03-11 09:01:00,2026-03-11 09:00:00,0.00043497173369584223,AM,True,2,h1__student_t_state::R003,0.5088981983718684,0.11455636421997466,0.1605237410343565,0.5088981983718684,0.03384152213128735,0.02235266064565435,0.15573459518751864,0.0040929184093398685
2026-03-11,2026-03-11 09:02:00,2026-03-11 09:01:00,0.0008693762773176194,AM,False,2,h1__student_t_state::R003,0.41501180896457623,0.08228556021412635,0.013403411990510284,0.41501180896457623,0.06889548602094495,0.035302550997646044,0.3709679792630089,0.014133202549187028
2026-03-11,2026-03-11 09:03:00,2026-03-11 09:02:00,0.00027152515847393883,AM,False,2,h1__student_t_state::R003,0.4601534238099159,0.15885617351648962,0.018872255707756483,0.4601534238099159,0.11811916147721634,0.011351364417984545,0.22456211943825566,0.008085501632381371
2026-03-11,2026-03-11 09:04:00,2026-03-11 09:03:00,0.0006513597364311023,AM,False,2,h1__student_t_state::R003,0.43735232793945855,0.08135957765101944,0.0039044091385621272,0.43735232793945855,0.08199259127321294,0.01258090686385116,0.3776459250802519,0.005164262053643787
2026-03-11,2026-03-11 09:05:00,2026-03-11 09:04:00,-0.0006513597364310532,AM,False,3,h1__student_t_state::R004,0.4719584389467193,0.3531027261494704,0.0008502121056042127,0.058695293432666176,0.4719584389467193,0.004664569708333138,0.09993391600126517,0.010794843655941716
2026-03-11,2026-03-11 09:06:00,2026-03-11 09:05:00,-0.00038015586848248143,AM,False,0,h1__student_t_state::R002,0.35444050231462987,0.35444050231462987,0.005866758412502367,0.11491357516333556,0.34116796877882016,0.003439260520054325,0.17316083324622064,0.0070111015644371884
2026-03-11,2026-03-11 09:07:00,2026-03-11 09:06:00,-0.0005433306300465419,AM,False,3,h1__student_t_state::R004,0.4195096511089897,0.3438504066540252,0.003810837131114115,0.08336210943969523,0.4195096511089897,0.002899291645985438,0.13946919185855866,0.0070985121616317206
2026-03-11,2026-03-11 09:08:00,2026-03-11 09:07:00,0.0003260338017250572,AM,False,2,h1__student_t_state::R003,0.4358048725579959,0.08961665151912718,0.009498388913855129,0.4358048725579959,0.11148687383168682,0.003041534217305152,0.34799911490125646,0.002552564058773457
2026-03-11,2026-03-11 09:09:00,2026-03-11 09:08:00,-0.0004890905730187705,AM,False,0,h1__student_t_state::R002,0.4508518198992238,0.4508518198992238,0.004180368112408908,0.08311581238525118,0.35593818157340923,0.0016502720591923842,0.10156767455724705,0.002695871413267484
2026-03-11,2026-03-11 09:10:00,2026-03-11 09:09:00,0.0,AM,False,2,h1__student_t_state::R003,0.3811427137581388,0.2817690308339496,0.030439173716975743,0.3811427137581388,0.1315081840603631,0.0008976398822636464,0.17249491327338562,0.0017483444749235792
