date,timestamp,window_start,log_return,session,sequence_reset,internal_state,state_id,confidence,p_state_0,p_state_1,p_state_2,p_state_3,p_state_4,p_state_5,p_state_6
2026-05-25,2026-05-25 09:01:00,2026-05-25 09:00:00,-0.00014862153553403407,AM,True,1,h1__student_t_state::R001,0.39015861696334214,0.34597732352166494,0.39015861696334214,0.1675814597602048,0.04317613215249202,0.00732874652186895,0.042780052875939466,0.002997668204487671
2026-05-25,2026-05-25 09:02:00,2026-05-25 09:01:00,-0.00014864362717824625,AM,False,1,h1__student_t_state::R001,0.5172994270503921,0.2701878295951808,0.5172994270503921,0.16606294190739238,0.02599037393934455,0.0010442079836793545,0.017962269992655495,0.0014529495313554235
2026-05-25,2026-05-25 09:03:00,2026-05-25 09:02:00,-0.0002477884890147404,AM,False,1,h1__student_t_state::R001,0.5490447173371598,0.2993988640590009,0.5490447173371598,0.12180156457238525,0.01868268836825797,0.00035351583951084115,0.010247887632124595,0.0004707621915607042
2026-05-25,2026-05-25 09:04:00,2026-05-25 09:03:00,-0.00014870257035010052,AM,False,1,h1__student_t_state::R001,0.6584251868680701,0.2007218619733505,0.6584251868680701,0.12598804528038335,0.008743012972722437,9.322478998221823e-05,0.00589898479749881,0.00012968331799268021
2026-05-25,2026-05-25 09:05:00,2026-05-25 09:04:00,-0.00019830449720428876,AM,False,1,h1__student_t_state::R001,0.7165795002071224,0.18458377158706707,0.7165795002071224,0.08995308800744094,0.0056149868387558935,3.0385813492478764e-05,0.0031872886518471517,5.0978894274044836e-05
2026-05-25,2026-05-25 09:06:00,2026-05-25 09:05:00,-0.0005951495488867545,AM,False,0,h1__student_t_state::R002,0.47259607386249614,0.47259607386249614,0.3855580304758429,0.10631991850511453,0.02879289508847165,6.698304845269716e-05,0.006434270330320937,0.00023182868930110237
2026-05-25,2026-05-25 09:07:00,2026-05-25 09:06:00,-0.00019846192077054524,AM,False,1,h1__student_t_state::R001,0.46832518610561824,0.33027605108887487,0.46832518610561824,0.17902231753854703,0.013870163266170597,4.645065054273791e-05,0.00833562042284493,0.00012421092740158422
2026-05-25,2026-05-25 09:08:00,2026-05-25 09:07:00,0.0004960809705862812,AM,False,2,h1__student_t_state::R003,0.6194928498116409,0.1025352082156179,0.2416094388381821,0.6194928498116409,0.008287673597338622,0.0001344346758210315,0.027834066583081418,0.00010632827831801848
2026-05-25,2026-05-25 09:09:00,2026-05-25 09:08:00,4.959456444602667e-05,AM,False,1,h1__student_t_state::R001,0.37420241945613353,0.2799465233160659,0.37420241945613353,0.3271481864975159,0.008177221636439962,5.5214483468431885e-05,0.010429757104831601,4.067750554468269e-05
2026-05-25,2026-05-25 09:10:00,2026-05-25 09:09:00,0.0008922818219525372,AM,False,2,h1__student_t_state::R003,0.7265925953734146,0.1249438674841578,0.04885425100708694,0.7265925953734146,0.01463207323249681,0.0005217931582797833,0.08422548592866977,0.0002299338158943133
