fold,horizon_min,family,model_key,log_density,gain_vs_student,observations
6,1,gaussian,h1__gaussian,6.107477210629582,-0.2770089968296509,31189
6,1,gaussian_hmm,h1__gaussian_hmm,6.531972789338589,0.14748658187935595,31189
6,1,gmm,h1__gmm,6.382231720511905,-0.002254486947327511,31189
6,1,student_t,h1__student_t,6.384486207459233,0.0,31189
6,1,student_t_shared,h1__student_t_shared,6.531300563629513,0.1468143561702801,31189
6,1,student_t_state,h1__student_t_state,6.53225781568309,0.14777160822385735,31189
6,2,gaussian,h2__gaussian,5.786527716325494,-0.25872947767943477,15593
6,2,gaussian_hmm,h2__gaussian_hmm,6.16386986245586,0.11861266845093082,15593
6,2,gmm,h2__gmm,6.042321443768427,-0.0029357502365008567,15593
6,2,student_t,h2__student_t,6.045257194004929,0.0,15593
6,2,student_t_shared,h2__student_t_shared,6.16764624821644,0.12238905421151212,15593
6,2,student_t_state,h2__student_t_state,6.166521021672412,0.12126382766748314,15593
7,1,gaussian,h1__gaussian,5.973558062762256,-0.3645212664965116,28358
7,1,gaussian_hmm,h1__gaussian_hmm,6.480338558806124,0.14225922954735512,28358
7,1,gmm,h1__gmm,6.328604487382575,-0.009474841876194484,28358
7,1,student_t,h1__student_t,6.338079329258769,0.0,28358
7,1,student_t_shared,h1__student_t_shared,6.488867665351038,0.15078833609226922,28358
7,1,student_t_state,h1__student_t_state,6.489568182196282,0.15148885293751344,28358
7,2,gaussian,h2__gaussian,5.614658485554609,-0.38248855757490224,14166
7,2,gaussian_hmm,h2__gaussian_hmm,6.113272689277458,0.11612564614794708,14166
7,2,gmm,h2__gmm,5.9807793957161834,-0.016367647413328006,14166
7,2,student_t,h2__student_t,5.9971470431295115,0.0,14166
7,2,student_t_shared,h2__student_t_shared,6.126411987030922,0.1292649439014107,14166
7,2,student_t_state,h2__student_t_state,6.130258917530063,0.13311187440055133,14166
