fold,horizon_min,family,observations,state_changes,sequence_resets,changes_per_100_bars,one_bar_run_rate,mean_run_bars,mean_confirmation_delay_bars,mean_confirmation_delay_trading_minutes,confidence_threshold
6,1,gaussian_hmm,31189,9226,130,29.580941998781622,0.5872167592988456,3.3335827276613936,0.34254784457761456,0.34254784457761456,0.6
6,1,student_t_shared,31189,9288,130,29.779730033024464,0.5881291144616692,3.3116372902951796,0.304331797235023,0.304331797235023,0.6
6,1,student_t_state,31189,9440,130,30.267081342781108,0.5836990595611286,3.2590386624869385,0.29812904353908026,0.29812904353908026,0.6
6,2,gaussian_hmm,15593,5370,130,34.43853010966459,0.6218181818181818,2.835090909090909,0.44518272425249167,0.8903654485049833,0.6
6,2,student_t_shared,15593,5336,130,34.22048355031104,0.6167215514087083,2.8527259421880715,0.29690869877785764,0.5938173975557153,0.6
6,2,student_t_state,15593,5065,130,32.48252420958122,0.6205967276227141,3.0015399422521654,0.32941670163659253,0.6588334032731851,0.6
7,1,gaussian_hmm,28358,2238,139,7.891952888073912,0.22843920908708457,11.930164072360117,0.540495867768595,0.540495867768595,0.6
7,1,student_t_shared,28358,9369,139,33.03829607165527,0.5879259570887674,2.9825410180900294,0.2843298592064363,0.2843298592064363,0.6
7,1,student_t_state,28358,9613,139,33.898723464278156,0.5821369975389664,2.9079163248564397,0.2809931506849315,0.2809931506849315,0.6
7,2,gaussian_hmm,14166,1295,127,9.141606663843005,0.23066104078762306,9.962025316455696,0.5013723696248856,1.0027447392497713,0.6
7,2,student_t_shared,14166,5973,127,42.16433714527742,0.5811475409836065,2.322295081967213,0.511358574610245,1.02271714922049,0.6
7,2,student_t_state,14166,4675,127,33.00155301425949,0.6045397750937109,2.9500208246563933,0.358974358974359,0.717948717948718,0.6
