fold,horizon_min,family,k,iterations,strict_converged,last_delta,delta_per_observation,practical_converged_1e_5
6,1,gaussian_hmm,7,300,False,0.046367448318051174,2.2282401037075868e-07,True
6,1,student_t_shared,7,300,False,0.01088227506261319,5.229600203091542e-08,True
6,1,student_t_state,7,300,False,0.021576908882707357,1.0369027287571415e-07,True
6,2,gaussian_hmm,7,300,False,0.0378072987368796,3.6350375679639643e-07,True
6,2,student_t_shared,7,296,True,0.009947851984179579,9.564506561206425e-08,True
6,2,student_t_state,7,300,False,2.2322770336759277,2.1462551281400736e-05,False
7,1,gaussian_hmm,4,217,True,0.008808490354567766,4.183284110563898e-08,True
7,1,student_t_shared,7,300,False,0.010255321831209585,4.870406067138535e-08,True
7,1,student_t_state,7,300,False,0.017443426739191636,8.284144839189813e-08,True
7,2,gaussian_hmm,4,246,True,0.009065476871910505,8.61352520443386e-08,True
7,2,student_t_shared,6,237,True,0.009987674377043732,9.489747334407377e-08,True
7,2,student_t_state,7,300,False,0.2374062282324303,2.2557054189899027e-06,True
