horizon_min,family,time_bucket,observations,mean_gain_vs_student,mean_confidence
1,gaussian_hmm,AM_close_30m,7441,0.1943695899539681,0.8079417673091164
1,gaussian_hmm,AM_middle,22350,0.1793505819283272,0.8013568770486232
1,gaussian_hmm,AM_open_30m,7427,0.1213795287554287,0.7301356178768795
1,gaussian_hmm,PM_close_30m,7444,0.07059083823543832,0.718080527934221
1,gaussian_hmm,PM_middle,7441,0.08864470155962341,0.73126795566531
1,gaussian_hmm,PM_open_30m,7444,0.1468011048626022,0.7919071924523884
1,student_t_shared,AM_close_30m,7441,0.20000144496598066,0.7828673725534472
1,student_t_shared,AM_middle,22350,0.18246187131553782,0.7689484781501957
1,student_t_shared,AM_open_30m,7427,0.1213808714759596,0.6639245791961332
1,student_t_shared,PM_close_30m,7444,0.0739920635805972,0.6251263485294155
1,student_t_shared,PM_middle,7441,0.09344652870660283,0.6814865591862183
1,student_t_shared,PM_open_30m,7444,0.15330289357248186,0.7630618122254743
1,student_t_state,AM_close_30m,7441,0.20103995277107473,0.7813903173018314
1,student_t_state,AM_middle,22350,0.18364490774645909,0.7678448110116735
1,student_t_state,AM_open_30m,7427,0.12259575851497152,0.6652267958386285
1,student_t_state,PM_close_30m,7444,0.07375180011374391,0.6315732744981939
1,student_t_state,PM_middle,7441,0.09387963566027555,0.6843209947323892
1,student_t_state,PM_open_30m,7444,0.15398739069149,0.7624418599716583
2,gaussian_hmm,AM_close_30m,3718,0.17487005340616443,0.7645484847247733
2,gaussian_hmm,AM_middle,11171,0.14551240884457348,0.7429325576136814
2,gaussian_hmm,AM_open_30m,3711,0.07862060891261878,0.6755363036949387
2,gaussian_hmm,PM_close_30m,3719,0.05286619188916306,0.6877799885598458
2,gaussian_hmm,PM_middle,3720,0.07057296845688289,0.7102421329915924
2,gaussian_hmm,PM_open_30m,3720,0.12579983192209757,0.7623764596689416
2,student_t_shared,AM_close_30m,3718,0.1829222658005003,0.6654784891730182
2,student_t_shared,AM_middle,11171,0.15418662951629206,0.6455877000343646
2,student_t_shared,AM_open_30m,3711,0.08743754742342841,0.5900226801957891
2,student_t_shared,PM_close_30m,3719,0.05977967552622289,0.6274732307880897
2,student_t_shared,PM_middle,3720,0.07582265564896873,0.6261272306815903
2,student_t_shared,PM_open_30m,3720,0.13661136136295815,0.6650069910218175
2,student_t_state,AM_close_30m,3718,0.18247444400950155,0.7251406159825089
2,student_t_state,AM_middle,11171,0.15476819809499356,0.6954027812160172
2,student_t_state,AM_open_30m,3711,0.09414573538698928,0.6414656675202749
2,student_t_state,PM_close_30m,3719,0.0609395263283378,0.632933137342092
2,student_t_state,PM_middle,3720,0.07650877612003183,0.6602523772719937
2,student_t_state,PM_open_30m,3720,0.13670768393227187,0.7245108608586805
