horizon_min,family,model_key,k,internal_state,display_state,model_mean_return_pct,model_scale_pct,model_std_return_pct,model_df,self_transition,expected_duration_observations,expected_duration_trading_minutes,test_count,test_share,test_mean_return_pct,test_std_return_pct,mean_confidence,mean_run_bars,median_run_bars,p90_run_bars,mean_trading_minutes,mean_calendar_minutes,fold,stable_state_id,alignment_cost,alignment_status
1,gaussian_hmm,h1__gaussian_hmm,7,3,0,1.1381921830511283e-05,0.02358960027340616,0.02358960027340616,,0.9814457080656132,53.895885843355224,53.895885843355224,16900,0.5418577062425856,-2.2416733569545117e-06,0.023144136501176842,0.8496553492324715,17.01913393756294,3.0,50.0,17.01913393756294,25.357502517623363,6,h1__gaussian_hmm::R001,,new_reference
1,gaussian_hmm,h1__gaussian_hmm,7,1,1,-0.023749391858930224,0.03022701182649908,0.03022701182649908,,0.29902467179998343,1.4265837323659123,1.4265837323659123,5707,0.18298117926191926,-0.03154957531964153,0.022574105335297773,0.5715269100947278,1.5558887677208288,1.0,3.0,1.5558887677208288,1.6294983642311887,6,h1__gaussian_hmm::R002,,new_reference
1,gaussian_hmm,h1__gaussian_hmm,7,0,2,0.023486114875225502,0.030736777795469298,0.030736777795469298,,0.33093869992291536,1.4946313587182323,1.4946313587182323,5895,0.18900894546154093,0.029924395404139804,0.022628903926793665,0.5768008240266885,1.5872374798061388,1.0,3.0,1.5872374798061388,1.7084006462035541,6,h1__gaussian_hmm::R003,,new_reference
1,gaussian_hmm,h1__gaussian_hmm,7,2,3,0.03626121854747111,0.06562315337356149,0.06562315337356149,,0.45897900489224086,1.8483571045164755,1.8483571045164755,487,0.01561447946391356,0.09956879088107186,0.04118939208025945,0.6053816856025329,1.326975476839237,1.0,2.0,1.326975476839237,1.577656675749319,6,h1__gaussian_hmm::R004,,new_reference
1,gaussian_hmm,h1__gaussian_hmm,7,6,4,-0.037653165577880426,0.06817341358865997,0.06817341358865997,,0.35491628954786225,1.5501864080540837,1.5501864080540837,452,0.014492288948026549,-0.10627939801797694,0.03880402119833506,0.6009921015067867,1.2486187845303867,1.0,2.0,1.2486187845303867,1.2486187845303867,6,h1__gaussian_hmm::R005,,new_reference
1,gaussian_hmm,h1__gaussian_hmm,7,5,5,-3.58301462807879e-05,0.08851725020757902,0.08851725020757902,,0.98254137784885,57.27828870700023,57.27828870700023,1640,0.052582641315848534,0.0008670910401212513,0.08616359525598823,0.7427382208032549,7.224669603524229,3.0,19.0,7.224669603524229,8.41409691629956,6,h1__gaussian_hmm::R006,,new_reference
1,gaussian_hmm,h1__gaussian_hmm,7,4,6,-0.005072405866229528,0.20340307902872123,0.20340307902872123,,0.9699458119235969,33.27323291708365,33.27323291708365,108,0.0034627593061656355,-0.03215211245012943,0.20443503246020964,0.7965873114818812,4.32,2.0,9.600000000000001,4.32,4.32,6,h1__gaussian_hmm::R007,,new_reference
1,student_t_shared,h1__student_t_shared,7,3,0,8.184283466716074e-05,0.020855379649817422,0.02608445026536406,5.544052751496269,0.9888879460402914,89.99236357435971,89.99236357435971,17370,0.5569271217416397,-0.00020142139020312897,0.025079066786284458,0.8500804002043598,18.758099352051836,3.0,58.5,18.758099352051836,28.185745140388768,6,h1__student_t_shared::R001,,new_reference
1,student_t_shared,h1__student_t_shared,7,1,1,-0.02182592469331827,0.031963176196828376,0.03997730532019047,5.544052751496269,0.3228798208654115,1.4768427094848608,1.4768427094848608,5353,0.17163102375837636,-0.03646811922731222,0.026789629475444672,0.5820279244334319,1.5556524266201686,1.0,3.0,1.5556524266201686,1.6341179889566986,6,h1__student_t_shared::R002,,new_reference
1,student_t_shared,h1__student_t_shared,7,0,2,0.020116533672944727,0.03313607624575268,0.04144428667014048,5.544052751496269,0.4131380171603829,1.703978157115161,1.703978157115161,6109,0.1958703389015358,0.03264395110743113,0.028355283890205526,0.6124634919613238,1.738474672737621,1.0,3.0,1.738474672737621,1.867103016505407,6,h1__student_t_shared::R003,,new_reference
1,student_t_shared,h1__student_t_shared,7,6,3,-0.04218629338696078,0.05799085483071462,0.07253090541034408,5.544052751496269,0.3557452004153153,1.5521809083062237,1.5521809083062237,1089,0.03491615633717016,-0.07111616170363377,0.05693245039578871,0.5899523156580437,1.4938271604938271,1.0,2.0,1.4938271604938271,1.617283950617284,6,h1__student_t_shared::R004,,new_reference
1,student_t_shared,h1__student_t_shared,7,2,4,0.04102225807928934,0.05889644119960218,0.07366354950490729,5.544052751496269,0.3983028574288262,1.6619656788243957,1.6619656788243957,1141,0.03658341081791657,0.06389358550256378,0.04982252023464876,0.6170831563296206,1.6070422535211268,1.0,3.0,1.6070422535211268,1.7338028169014084,6,h1__student_t_shared::R005,,new_reference
1,student_t_shared,h1__student_t_shared,7,4,5,-0.09422824278964113,0.1299522317994103,0.16253516282905234,5.544052751496269,0.30833395971273325,1.445784441845192,1.445784441845192,56,0.0017955048254192183,-0.174886140186809,0.12273971237582079,0.5932167854521543,1.2173913043478262,1.0,2.0,1.2173913043478262,1.2173913043478262,6,h1__student_t_shared::R006,,new_reference
1,student_t_shared,h1__student_t_shared,7,5,6,0.07611545425864989,0.1310427932148207,0.16389916077487,5.544052751496269,0.389121629841547,1.6369870809808087,1.6369870809808087,71,0.0022764436179422234,0.11748580335557393,0.10542261510284412,0.5910658571904869,1.3653846153846154,1.0,2.0,1.3653846153846154,1.3653846153846154,6,h1__student_t_shared::R007,,new_reference
1,student_t_state,h1__student_t_state,7,5,0,8.837241906314592e-05,0.021375386423393976,0.025161541071024918,7.186350808739156,0.9880530682927283,83.70350015404667,83.70350015404667,17071,0.5473404084773478,-9.282780809191448e-05,0.024419124107677985,0.8496664916812794,18.27730192719486,3.0,57.700000000000045,18.27730192719486,27.527837259100643,6,h1__student_t_state::R001,,new_reference
