horizon_min,family,time_bucket,observations,mean_gain_vs_student,mean_confidence
1,gaussian_hmm,AM_close_30m,7482,0.09698136960397111,0.6326024623317579
1,gaussian_hmm,AM_middle,22462,0.13174584275318174,0.6408996960754184
1,gaussian_hmm,AM_open_30m,7484,0.12799431382956364,0.6117516348444115
1,gaussian_hmm,PM_close_30m,7494,0.16735761846604627,0.7196179958310363
1,gaussian_hmm,PM_middle,7500,0.12348125010296992,0.6667270700181024
1,gaussian_hmm,PM_open_30m,7490,0.10918478541863964,0.6485627268240178
1,student_t_shared,AM_close_30m,7482,0.1034808070001647,0.6673487370658733
1,student_t_shared,AM_middle,22462,0.14057294960160543,0.6774758299128533
1,student_t_shared,AM_open_30m,7484,0.12942757454451304,0.620638100210606
1,student_t_shared,PM_close_30m,7494,0.17555639856534605,0.7498327578624784
1,student_t_shared,PM_middle,7500,0.13342606171458146,0.7028625545026468
1,student_t_shared,PM_open_30m,7490,0.11725953577727677,0.6823043523374624
1,student_t_state,AM_close_30m,7482,0.10268621546107141,0.632937196962509
1,student_t_state,AM_middle,22462,0.13736922062789841,0.67021453135488
1,student_t_state,AM_open_30m,7484,0.1246930677152046,0.6320727673163271
1,student_t_state,PM_close_30m,7494,0.17156928532468807,0.6298826005138545
1,student_t_state,PM_middle,7500,0.13080916070116258,0.6344712736067519
1,student_t_state,PM_open_30m,7490,0.1129201864414601,0.6365220691774871
2,gaussian_hmm,AM_close_30m,3739,0.0876274700153382,0.6616139851753787
2,gaussian_hmm,AM_middle,11227,0.11371969690944837,0.6730978410799269
2,gaussian_hmm,AM_open_30m,3740,0.10876304404136604,0.6004472636056225
2,gaussian_hmm,PM_close_30m,3745,0.14883263782338693,0.7270280595450137
2,gaussian_hmm,PM_middle,3750,0.10387204735185937,0.6919336920547414
2,gaussian_hmm,PM_open_30m,3744,0.08930794550240265,0.6663603060637929
2,student_t_shared,AM_close_30m,3739,0.09805240629778463,0.677214320085841
2,student_t_shared,AM_middle,11227,0.11889872348267157,0.6859447715102597
2,student_t_shared,AM_open_30m,3740,0.11178101692919962,0.6345893568985752
2,student_t_shared,PM_close_30m,3745,0.14860986835286724,0.7293860170298061
2,student_t_shared,PM_middle,3750,0.10741822637939058,0.6953421925096732
2,student_t_shared,PM_open_30m,3744,0.09845609782583511,0.6836296523509591
2,student_t_state,AM_close_30m,3739,0.0983488280494854,0.6806404916093876
2,student_t_state,AM_middle,11227,0.11909735683310825,0.6896402890302725
2,student_t_state,AM_open_30m,3740,0.11160839832087711,0.6363689008402108
2,student_t_state,PM_close_30m,3745,0.14849762209936834,0.7304473706204535
2,student_t_state,PM_middle,3750,0.10721856100722876,0.6979501489738873
2,student_t_state,PM_open_30m,3744,0.09802388451004121,0.6872690524900498
