fold,horizon_min,family,k,iterations,strict_converged,last_delta,delta_per_observation,practical_converged_1e_5
4,1,gaussian_hmm,7,300,False,0.02694438982871361,1.288773608299307e-07,True
4,1,student_t_shared,7,300,False,0.014310250378912315,6.84471726164075e-08,True
4,1,student_t_state,7,300,False,0.03361026482889429,1.6076082091593384e-07,True
4,2,gaussian_hmm,7,300,False,0.057282185822259635,5.480971938098347e-07,True
4,2,student_t_shared,7,300,False,0.02448510585236363,2.3428257171363427e-07,True
4,2,student_t_state,7,300,False,0.09893492342962418,9.466460318016685e-07,True
5,1,gaussian_hmm,7,300,False,0.036990861961385235,1.7551843855045378e-07,True
5,1,student_t_shared,7,300,False,0.012612220627488568,5.984389532478253e-08,True
5,1,student_t_state,7,300,False,0.040176614158554,1.906345570080189e-07,True
5,2,gaussian_hmm,7,300,False,0.037790137430420145,3.587103695341257e-07,True
5,2,student_t_shared,7,300,False,0.032498022163053975,3.084767172572755e-07,True
5,2,student_t_state,7,300,False,0.1742159014684148,1.6536867723627415e-06,True
