fold,horizon_min,family,observations,state_changes,sequence_resets,changes_per_100_bars,one_bar_run_rate,mean_run_bars,mean_confirmation_delay_bars,mean_confirmation_delay_trading_minutes,confidence_threshold
4,1,gaussian_hmm,30699,9432,260,30.72412782175315,0.6166941807676434,3.1674576970697483,0.2948061448427213,0.2948061448427213,0.6
4,1,student_t_shared,30699,10871,260,35.411576924329786,0.6065941963884647,2.7579732279220197,0.23952802359882006,0.23952802359882006,0.6
4,1,student_t_state,30699,11046,260,35.981628066060786,0.6067574739076597,2.7152839200424554,0.24840301974448317,0.24840301974448317,0.6
4,2,gaussian_hmm,15341,4859,260,31.673293787888664,0.6071498339519438,2.996874389529205,0.42105263157894735,0.8421052631578947,0.6
4,2,student_t_shared,15341,4680,260,30.50648588749104,0.6145748987854251,3.1054655870445345,0.3540820929183581,0.7081641858367163,0.6
4,2,student_t_state,15341,4641,260,30.252265171761945,0.614160375433585,3.1301775147928996,0.3747157798999545,0.749431559799909,0.6
5,1,gaussian_hmm,28773,9658,241,33.5661905258402,0.595110617234064,2.906657238104859,0.3205011803159615,0.3205011803159615,0.6
5,1,student_t_shared,28773,11070,241,38.47356897091023,0.5960569357262842,2.543806913623906,0.27840825350036846,0.27840825350036846,0.6
5,1,student_t_state,28773,11140,241,38.71685260487262,0.5962569194271153,2.5281609700377823,0.2672463768115942,0.2672463768115942,0.6
5,2,gaussian_hmm,14375,5559,241,38.67130434782609,0.6182758620689656,2.478448275862069,0.3841151881096145,0.768230376219229,0.6
5,2,student_t_shared,14375,5394,241,37.52347826086957,0.6159716060337178,2.5510204081632653,0.32894736842105265,0.6578947368421053,0.6
5,2,student_t_state,14375,5080,241,35.33913043478261,0.6250704754745349,2.701559857169705,0.29251984956122024,0.5850396991224405,0.6
