horizon_min,family,time_bucket,observations,mean_gain_vs_student,mean_confidence
1,gaussian_hmm,AM_close_30m,7437,0.1702804004375799,0.7369106760785162
1,gaussian_hmm,AM_middle,22316,0.19045485432845746,0.7578874811390891
1,gaussian_hmm,AM_open_30m,7404,0.13627704108899932,0.6668339293524174
1,gaussian_hmm,PM_close_30m,7440,0.147751224073575,0.7166448812997035
1,gaussian_hmm,PM_middle,7440,0.08691314187246738,0.6851645487944642
1,gaussian_hmm,PM_open_30m,7435,0.12692502026270497,0.6990764575212001
1,student_t_shared,AM_close_30m,7437,0.1748995912191275,0.7432242753770314
1,student_t_shared,AM_middle,22316,0.19416256190062656,0.7639276875832447
1,student_t_shared,AM_open_30m,7404,0.13036298654383074,0.6481651995552302
1,student_t_shared,PM_close_30m,7440,0.14645872206962227,0.6436426571276369
1,student_t_shared,PM_middle,7440,0.08433140727664726,0.6801121129513263
1,student_t_shared,PM_open_30m,7435,0.12972328281987697,0.6866683873992105
1,student_t_state,AM_close_30m,7437,0.17548053243692405,0.7416560542865063
1,student_t_state,AM_middle,22316,0.19492523956900243,0.7630813474909629
1,student_t_state,AM_open_30m,7404,0.13054491634391016,0.6478433438319067
1,student_t_state,PM_close_30m,7440,0.14634189221694602,0.6475023800013034
1,student_t_state,PM_middle,7440,0.08430752260811379,0.6798675395928723
1,student_t_state,PM_open_30m,7435,0.13042415440315186,0.6869695444854006
2,gaussian_hmm,AM_close_30m,3717,0.1603426410829306,0.6990952107225566
2,gaussian_hmm,AM_middle,11156,0.16405880934674544,0.6928407631269977
2,gaussian_hmm,AM_open_30m,3686,0.09694275045893107,0.5822414426607312
2,gaussian_hmm,PM_close_30m,3720,0.11896284987346023,0.663678080568442
2,gaussian_hmm,PM_middle,3720,0.06207205261231333,0.6412711016089162
2,gaussian_hmm,PM_open_30m,3717,0.09672298479504661,0.6361364193551208
2,student_t_shared,AM_close_30m,3717,0.16742293033923197,0.7229635823178915
2,student_t_shared,AM_middle,11156,0.1704523405073241,0.71149484680706
2,student_t_shared,AM_open_30m,3686,0.09957964851808258,0.588663289467094
2,student_t_shared,PM_close_30m,3720,0.12122930983943453,0.6927843701107856
2,student_t_shared,PM_middle,3720,0.06360444772467128,0.6623806013699857
2,student_t_shared,PM_open_30m,3717,0.09775241908907394,0.631865037570632
2,student_t_state,AM_close_30m,3717,0.16595685776461272,0.7474863356383258
2,student_t_state,AM_middle,11156,0.1677056888212164,0.7371401906332247
2,student_t_state,AM_open_30m,3686,0.09665904202880046,0.6181613582408357
2,student_t_state,PM_close_30m,3720,0.1187109328923791,0.6374564341216423
2,student_t_state,PM_middle,3720,0.06116690929151961,0.6571249877204954
2,student_t_state,PM_open_30m,3717,0.09737286385716588,0.6685171895306109
