fold,horizon_min,family,model_key,log_density,gain_vs_student,observations
4,1,gaussian,h1__gaussian,5.9420663514070675,-0.25202027037850305,30699
4,1,gaussian_hmm,h1__gaussian_hmm,6.371443424923756,0.17735680313818497,30699
4,1,gmm,h1__gmm,6.175126316937007,-0.018960304848563644,30699
4,1,student_t,h1__student_t,6.194086621785571,0.0,30699
4,1,student_t_shared,h1__student_t_shared,6.373366867875958,0.1792802460903875,30699
4,1,student_t_state,h1__student_t_state,6.373674241453879,0.17958761966830955,30699
4,2,gaussian,h2__gaussian,5.626649907644233,-0.2501868079817148,15341
4,2,gaussian_hmm,h2__gaussian_hmm,6.032222253107342,0.15538553748139358,15341
4,2,gmm,h2__gmm,5.869992358818397,-0.006844356807550564,15341
4,2,student_t,h2__student_t,5.876836715625948,0.0,15341
4,2,student_t_shared,h2__student_t_shared,6.036417538143516,0.15958082251756747,15341
4,2,student_t_state,h2__student_t_state,6.036434016635792,0.1595973010098439,15341
5,1,gaussian,h1__gaussian,5.972019799599764,-0.23228676831582176,28773
5,1,gaussian_hmm,h1__gaussian_hmm,6.335348690329783,0.13104212241419785,28773
5,1,gmm,h1__gmm,6.201383270358269,-0.002923297557316545,28773
5,1,student_t,h1__student_t,6.2043065679155855,0.0,28773
5,1,student_t_shared,h1__student_t_shared,6.335565541224409,0.13125897330882355,28773
5,1,student_t_state,h1__student_t_state,6.336170809553719,0.13186424163813357,28773
5,2,gaussian,h2__gaussian,5.647908353035522,-0.21881804347123546,14375
5,2,gaussian_hmm,h2__gaussian_hmm,5.966396956047444,0.09967055954068675,14375
5,2,gmm,h2__gmm,5.863229105152024,-0.003497291354733466,14375
5,2,student_t,h2__student_t,5.866726396506756,0.0,14375
5,2,student_t_shared,h2__student_t_shared,5.9706377599056335,0.10391136339887612,14375
5,2,student_t_state,h2__student_t_state,5.965979951067306,0.09925355456054871,14375
