fold,horizon_min,family,observations,state_changes,sequence_resets,changes_per_100_bars,one_bar_run_rate,mean_run_bars,mean_confirmation_delay_bars,mean_confirmation_delay_trading_minutes,confidence_threshold
6,1,gaussian_hmm,31189,9142,260,29.31161627496874,0.5888108912997234,3.3172729206551796,0.36235340886503675,0.36235340886503675,0.6
6,1,student_t_shared,31189,9476,260,30.38250665298663,0.5851479046836483,3.2034716516023005,0.3357505438723713,0.3357505438723713,0.6
6,1,student_t_state,31189,9596,260,30.767257687005035,0.5795454545454546,3.164468344155844,0.3220338983050847,0.3220338983050847,0.6
6,2,gaussian_hmm,15593,5407,260,34.67581607131405,0.6174342685724369,2.7515440268219518,0.5175961017866811,1.0351922035733623,0.6
6,2,student_t_shared,15593,5449,260,34.94516770345668,0.6225258363986688,2.7313014538448064,0.3946768060836502,0.7893536121673004,0.6
6,2,student_t_state,15593,5374,260,34.46418264605913,0.6208732694355698,2.7676606318778845,0.38784868169659914,0.7756973633931983,0.6
7,1,gaussian_hmm,28358,2297,258,8.100007052683546,0.2340508806262231,11.099021526418786,0.5567484662576687,0.5567484662576687,0.6
7,1,student_t_shared,28358,16168,258,57.0138937865858,0.5930841349080725,1.7264093510288567,0.16694475342973675,0.16694475342973675,0.6
7,1,student_t_state,28358,9608,258,33.88109175541293,0.5812892763024529,2.874315832150821,0.31174934725848563,0.31174934725848563,0.6
7,2,gaussian_hmm,14166,1381,246,9.74869405619088,0.24031960663798402,8.706822372464659,0.5439161966156325,1.087832393231265,0.6
7,2,student_t_shared,14166,4069,246,28.723704644924467,0.5647740440324449,3.2829663962920046,0.8475409836065574,1.6950819672131148,0.6
7,2,student_t_state,14166,4747,246,33.50981222645772,0.6042459443220509,2.8371720408572,0.42580361074416556,0.8516072214883311,0.6
