fold,horizon_min,family,k,iterations,strict_converged,last_delta,delta_per_observation,practical_converged_1e_5
6,1,gaussian_hmm,7,300,False,0.04394845914794132,2.111992846746183e-07,True
6,1,student_t_shared,7,300,False,0.013306309498148039,6.394497331994829e-08,True
6,1,student_t_state,7,300,False,0.022088065859861672,1.0614669546764223e-07,True
6,2,gaussian_hmm,7,300,False,0.04720537732646335,4.53862946373965e-07,True
6,2,student_t_shared,7,300,False,0.02293735562125221,2.2053453216341251e-07,True
6,2,student_t_state,7,300,False,0.1951932897354709,1.876714192518565e-06,True
7,1,gaussian_hmm,4,225,True,0.008856491360347718,4.206080507754278e-08,True
7,1,student_t_shared,6,223,True,0.009906083927489817,4.7045477515101427e-08,True
7,1,student_t_state,7,300,False,0.020131028431933373,9.560527170804778e-08,True
7,2,gaussian_hmm,4,234,True,0.009060679847607389,8.608967331712437e-08,True
7,2,student_t_shared,5,280,True,0.009896876843413338,9.403476434875425e-08,True
7,2,student_t_state,7,300,False,0.11924238431674894,1.132976562911522e-06,True
