comparison,left,right,days,block_days,iterations,mean_difference,ci_95_low,ci_95_high,probability_mean_positive
horizon_gain_difference,h1__gaussian_hmm,h2__gaussian_hmm,249,1,2000,0.02869447834777733,0.024881173823157455,0.03275417056535962,1.0
horizon_gain_difference,h1__gaussian_hmm,h2__gaussian_hmm,249,5,2000,0.02869447834777733,0.024899083893116042,0.0326553971758095,1.0
horizon_gain_difference,h1__gaussian_hmm,h2__gaussian_hmm,249,10,2000,0.02869447834777733,0.025137662952441662,0.032508103020580305,1.0
horizon_gain_difference,h1__gaussian_hmm,h2__gaussian_hmm,249,20,2000,0.02869447834777733,0.024830979575163864,0.03298102797974436,1.0
hmm_family_difference,h1__gaussian_hmm,h1__student_t_shared,249,1,2000,0.0018861510052718725,-0.0006490026986740274,0.004594270789638707,0.9155
hmm_family_difference,h1__gaussian_hmm,h1__student_t_shared,249,5,2000,0.0018861510052718725,-0.0008091140732280863,0.005538103411426534,0.9025
hmm_family_difference,h1__gaussian_hmm,h1__student_t_shared,249,10,2000,0.0018861510052718725,-0.0010252718416162016,0.005622918701853992,0.866
hmm_family_difference,h1__gaussian_hmm,h1__student_t_shared,249,20,2000,0.0018861510052718725,-0.001167591728212075,0.006149830812785146,0.8335
hmm_family_difference,h1__gaussian_hmm,h1__student_t_state,249,1,2000,-0.00478323309137065,-0.006287097444345031,-0.0032835259453804725,0.0
hmm_family_difference,h1__gaussian_hmm,h1__student_t_state,249,5,2000,-0.00478323309137065,-0.006803249316094964,-0.003000631544327803,0.0
hmm_family_difference,h1__gaussian_hmm,h1__student_t_state,249,10,2000,-0.00478323309137065,-0.007095996782641261,-0.0026772319624040436,0.0
hmm_family_difference,h1__gaussian_hmm,h1__student_t_state,249,20,2000,-0.00478323309137065,-0.007475154879248469,-0.002331335347603707,0.0
hmm_family_difference,h1__student_t_shared,h1__student_t_state,249,1,2000,-0.0066693840966425225,-0.00967007951796761,-0.004220697829165776,0.0
hmm_family_difference,h1__student_t_shared,h1__student_t_state,249,5,2000,-0.0066693840966425225,-0.011352804107437315,-0.0034133565306853574,0.0
hmm_family_difference,h1__student_t_shared,h1__student_t_state,249,10,2000,-0.0066693840966425225,-0.011524594103071334,-0.003049365969605235,0.0
hmm_family_difference,h1__student_t_shared,h1__student_t_state,249,20,2000,-0.0066693840966425225,-0.012409702176587432,-0.0028060577500969076,0.0
hmm_family_difference,h2__gaussian_hmm,h2__student_t_shared,249,1,2000,-0.007471953764553667,-0.009491131795565159,-0.005564676472486055,0.0
hmm_family_difference,h2__gaussian_hmm,h2__student_t_shared,249,5,2000,-0.007471953764553667,-0.010345230803191531,-0.005214634642298999,0.0
hmm_family_difference,h2__gaussian_hmm,h2__student_t_shared,249,10,2000,-0.007471953764553667,-0.010472631057863925,-0.004929440125466364,0.0
hmm_family_difference,h2__gaussian_hmm,h2__student_t_shared,249,20,2000,-0.007471953764553667,-0.010665926129927339,-0.00460922602725554,0.0
hmm_family_difference,h2__gaussian_hmm,h2__student_t_state,249,1,2000,-0.009201892519458668,-0.01148960953064242,-0.007056218493695537,0.0
hmm_family_difference,h2__gaussian_hmm,h2__student_t_state,249,5,2000,-0.009201892519458668,-0.012404988366678037,-0.006544830936190004,0.0
hmm_family_difference,h2__gaussian_hmm,h2__student_t_state,249,10,2000,-0.009201892519458668,-0.012711877073529622,-0.006068839512173956,0.0
hmm_family_difference,h2__gaussian_hmm,h2__student_t_state,249,20,2000,-0.009201892519458668,-0.013220419839848107,-0.005490193020201351,0.0
hmm_family_difference,h2__student_t_shared,h2__student_t_state,249,1,2000,-0.0017299387549050012,-0.0025176178313390247,-0.0009706941711930963,0.0
hmm_family_difference,h2__student_t_shared,h2__student_t_state,249,5,2000,-0.0017299387549050012,-0.0027508629549705807,-0.0008357342952110346,0.0
hmm_family_difference,h2__student_t_shared,h2__student_t_state,249,10,2000,-0.0017299387549050012,-0.0029431576248341662,-0.0006738208085485229,0.0
hmm_family_difference,h2__student_t_shared,h2__student_t_state,249,20,2000,-0.0017299387549050012,-0.0031513668896984448,-0.000400178217871544,0.0035
