horizon_min,family,model_key,k,internal_state,display_state,model_mean_return_pct,model_scale_pct,model_std_return_pct,model_df,self_transition,expected_duration_observations,expected_duration_trading_minutes,test_count,test_share,test_mean_return_pct,test_std_return_pct,mean_confidence,mean_run_bars,median_run_bars,p90_run_bars,mean_trading_minutes,mean_calendar_minutes,fold,stable_state_id,alignment_cost,alignment_status
1,gaussian_hmm,h1__gaussian_hmm,7,3,0,1.6577054509786022e-05,0.02368759867560079,0.02368759867560079,,0.9808059193785844,52.09939562743426,52.09939562743426,17264,0.5535284876078105,5.359446768688506e-05,0.023146367005811793,0.8417095928056033,15.27787610619469,4.0,44.0,15.27787610619469,15.27787610619469,6,h1__gaussian_hmm::R001,,new_reference
1,gaussian_hmm,h1__gaussian_hmm,7,1,1,-0.024341597645730035,0.029987864518194792,0.029987864518194792,,0.2909250639657277,1.4102881785567247,1.4102881785567247,5530,0.1773061015101478,-0.03177286900565911,0.022483749449451005,0.5617307995825417,1.5382475660639778,1.0,3.0,1.5382475660639778,1.5382475660639778,6,h1__gaussian_hmm::R002,,new_reference
1,gaussian_hmm,h1__gaussian_hmm,7,0,2,0.023985228304119127,0.030452567650146138,0.030452567650146138,,0.32161395530590864,1.474086927084321,1.474086927084321,5692,0.18250024046939625,0.02994673066385605,0.022485387427426087,0.5675634543886569,1.5745504840940525,1.0,3.0,1.5745504840940525,1.5745504840940525,6,h1__gaussian_hmm::R003,,new_reference
1,gaussian_hmm,h1__gaussian_hmm,7,2,3,0.03483036880924663,0.0644252710503738,0.0644252710503738,,0.46618617452419736,1.8733122903077173,1.8733122903077173,545,0.017474109461669177,0.09557963773415962,0.03905433407528697,0.5918051771880267,1.329268292682927,1.0,2.0,1.329268292682927,1.329268292682927,6,h1__gaussian_hmm::R004,,new_reference
1,gaussian_hmm,h1__gaussian_hmm,7,6,4,-0.03607532362325975,0.06676113369710757,0.06676113369710757,,0.3509303486617668,1.5406667033934318,1.5406667033934318,485,0.015550354291577159,-0.10330264683013177,0.0371665065116843,0.5917188978689059,1.2404092071611252,1.0,2.0,1.2404092071611252,1.2404092071611252,6,h1__gaussian_hmm::R005,,new_reference
1,gaussian_hmm,h1__gaussian_hmm,7,5,5,-0.0003071798966018147,0.09072550449628924,0.09072550449628924,,0.9811997378530596,53.19074767065105,53.19074767065105,1578,0.05059476097342012,6.764472685268463e-05,0.08948193789107016,0.7363113792958015,6.630252100840337,3.0,17.0,6.630252100840337,6.630252100840337,6,h1__gaussian_hmm::R006,,new_reference
1,gaussian_hmm,h1__gaussian_hmm,7,4,6,-0.004960636452095829,0.2066969215739049,0.2066969215739049,,0.9687030868026623,31.952032895214238,31.952032895214238,95,0.003045945685979031,-0.03220660804608519,0.20988005546333813,0.8026270214273229,4.130434782608695,2.0,7.800000000000001,4.130434782608695,4.130434782608695,6,h1__gaussian_hmm::R007,,new_reference
1,student_t_shared,h1__student_t_shared,7,3,0,4.760198078344e-05,0.020791937180216973,0.02589907048770321,5.6258469104138955,0.9884523662097867,86.59782758676572,86.59782758676572,17170,0.5505146045079996,-0.0002106914489124472,0.024598820276073022,0.8376757813987115,15.839483394833948,3.0,49.40000000000009,15.839483394833948,15.839483394833948,6,h1__student_t_shared::R001,,new_reference
1,student_t_shared,h1__student_t_shared,7,1,1,-0.022243722040483565,0.032107282880191004,0.03999380987327588,5.6258469104138955,0.32192174841309207,1.4747560442466603,1.4747560442466603,5456,0.17493347013370097,-0.03678675571512742,0.026693805802896417,0.5779235261681758,1.5473624503686898,1.0,3.0,1.5473624503686898,1.5473624503686898,6,h1__student_t_shared::R002,,new_reference
1,student_t_shared,h1__student_t_shared,7,0,2,0.02032710613161744,0.03319081325464644,0.041343488323165076,5.6258469104138955,0.41445749064633464,1.7078179364019563,1.7078179364019563,6248,0.20032703837891563,0.03273121113491435,0.028216556242623158,0.6087318943991892,1.725013804527885,1.0,3.0,1.725013804527885,1.725013804527885,6,h1__student_t_shared::R003,,new_reference
1,student_t_shared,h1__student_t_shared,7,6,3,-0.04294016840327607,0.05874291629004194,0.07317196644363702,5.6258469104138955,0.3604193216997924,1.563524405799229,1.563524405799229,1062,0.03405046651062875,-0.07202048088110725,0.05714065244877459,0.588564317240974,1.4873949579831933,1.0,2.0,1.4873949579831933,1.4873949579831933,6,h1__student_t_shared::R004,,new_reference
1,student_t_shared,h1__student_t_shared,7,2,4,0.04197555373754814,0.059367821392832386,0.07395036728070258,5.6258469104138955,0.39724810443332487,1.6590574121046164,1.6590574121046164,1129,0.03619865978389817,0.06437420644229387,0.050007407174266646,0.6095964568864514,1.6221264367816093,1.0,3.0,1.6221264367816093,1.6221264367816093,6,h1__student_t_shared::R005,,new_reference
1,student_t_shared,h1__student_t_shared,7,5,5,0.08154547182428347,0.1312766259630653,0.16352216533437014,5.6258469104138955,0.3806148704444372,1.6145043726147346,1.6145043726147346,66,0.0021161306871012218,0.12618738768252544,0.10478343490650822,0.6085546340837141,1.346938775510204,1.0,2.200000000000003,1.346938775510204,1.346938775510204,6,h1__student_t_shared::R006,,new_reference
1,student_t_shared,h1__student_t_shared,7,4,6,-0.09595267801052319,0.13168161792095875,0.1640266356573382,5.6258469104138955,0.33088215011390554,1.4945050414814556,1.4945050414814556,58,0.001859629997755619,-0.17215994967973738,0.12168151199723712,0.5923282924357337,1.288888888888889,1.0,2.0,1.288888888888889,1.288888888888889,6,h1__student_t_shared::R007,,new_reference
1,student_t_state,h1__student_t_state,7,5,0,5.3888459359139854e-05,0.02134202411263934,0.024965510283324565,7.429038757124716,0.9875106788168196,80.06840286457857,80.06840286457857,16899,0.5418256436564173,-8.35140395258813e-05,0.02393655368296746,0.8370864196846898,15.793457943925233,3.0,47.0,15.793457943925233,15.793457943925233,6,h1__student_t_state::R001,,new_reference
1,student_t_state,h1__student_t_state,7,2,1,0.021120912134778725,0.032047060141989124,0.04109852392579771,5.102411890680211,0.4100132915764086,1.694953438310397,1.694953438310397,6307,0.20221873096283946,0.03316721048035419,0.028497723669834468,0.6141135895626505,1.712462666304643,1.0,3.0,1.712462666304643,1.712462666304643,6,h1__student_t_state::R002,,new_reference
1,student_t_state,h1__student_t_state,7,0,2,-0.022546711319610804,0.030871936142876116,0.04124665398479467,4.547617409498285,0.3379209678995863,1.5103937015306894,1.5103937015306894,5704,0.18288499150341467,-0.03665829329405511,0.027730444775716,0.5903297485833373,1.5704845814977975,1.0,3.0,1.5704845814977975,1.5704845814977975,6,h1__student_t_state::R003,,new_reference
1,student_t_state,h1__student_t_state,7,1,3,0.043219334297925946,0.057630015868214486,0.07318186059847759,5.265114283807753,0.39242809094006487,1.6458957122412863,1.6458957122412863,1083,0.034723780820160956,0.06607303806880872,0.048880115138515014,0.6153106878274496,1.6092124814264488,1.0,3.0,1.6092124814264488,1.6092124814264488,6,h1__student_t_state::R004,,new_reference
1,student_t_state,h1__student_t_state,7,4,4,-0.04303873028213566,0.05697225686750094,0.0733575112282276,5.039905148561516,0.37320287407576913,1.595412548399086,1.595412548399086,1062,0.03405046651062875,-0.06957100294822122,0.056665330304787466,0.5934829429940983,1.51931330472103,1.0,3.0,1.51931330472103,1.51931330472103,6,h1__student_t_state::R005,,new_reference
1,student_t_state,h1__student_t_state,7,6,5,0.09065385597669393,0.11915450762990487,0.16269017087428206,4.3141736488463165,0.36638081738125733,1.5782350462733916,1.5782350462733916,69,0.0022123184456058227,0.13038479548583307,0.09837419290271651,0.6046854329597889,1.3529411764705883,1.0,2.0,1.3529411764705883,1.3529411764705883,6,h1__student_t_state::R006,,new_reference
1,student_t_state,h1__student_t_state,7,3,6,-0.09822514895296143,0.12128695070980819,0.16634543999583115,4.2700934367466,0.3680581213849058,1.582424007396864,1.582424007396864,65,0.002084068100933021,-0.16354337058105242,0.11895420487621196,0.6092234214181632,1.3541666666666667,1.0,2.0,1.3541666666666667,1.3541666666666667,6,h1__student_t_state::R007,,new_reference
2,gaussian_hmm,h2__gaussian_hmm,7,1,0,0.0003348718992496551,0.03221248728340261,0.03221248728340261,,0.9751966615370142,40.317153333705804,80.63430666741161,7690,0.49317001218495476,0.00020135255670448198,0.031313924766349,0.7737329552762077,11.426448736998514,4.0,30.0,22.85289747399703,22.85289747399703,6,h2__gaussian_hmm::R001,,new_reference
2,gaussian_hmm,h2__gaussian_hmm,7,4,1,0.02538406150336994,0.042222205137100156,0.042222205137100156,,0.28034285964777034,1.3895505844777127,2.7791011689554255,3086,0.1979093182838453,0.03657579846526233,0.029217241283163112,0.49245290707363815,1.4944309927360775,1.0,3.0,2.988861985472155,2.988861985472155,6,h2__gaussian_hmm::R002,,new_reference
2,gaussian_hmm,h2__gaussian_hmm,7,0,2,-0.028404584483659286,0.04290005270588184,0.04290005270588184,,0.29340880273814607,1.415245482642791,2.830490965285582,3151,0.20207785544795742,-0.042878213955279715,0.030644575911559255,0.5008134920625754,1.4765698219306467,1.0,3.0,2.9531396438612934,2.9531396438612934,6,h2__gaussian_hmm::R003,,new_reference
2,gaussian_hmm,h2__gaussian_hmm,7,2,3,0.04473782807874954,0.0808795401351937,0.0808795401351937,,0.4527345358933843,1.8272667756085275,3.654533551217055,484,0.03103956903738857,0.11798599453029966,0.043721678869780324,0.5542573422696425,1.315217391304348,1.0,2.0,2.630434782608696,2.630434782608696,6,h2__gaussian_hmm::R004,,new_reference
2,gaussian_hmm,h2__gaussian_hmm,7,3,4,-0.042603232824225686,0.09285531608253222,0.09285531608253222,,0.4249896136455754,1.7390990210455444,3.4781980420910887,310,0.019880715705765408,-0.1388883724880197,0.05421045489182084,0.5529172924794217,1.2109375,1.0,2.0,2.421875,2.421875,6,h2__gaussian_hmm::R005,,new_reference
